CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU00062_569;821;47.4345;-62.61583;233540;49.58;07-dec-00;12:36:00;31.71;1.58;306.99284;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.726;NaN
18HU00062_569;821;47.4345;-62.61583;233541;24.39;07-dec-00;12:36:00;30.57;3.38;332.0471;7.4135;4.985;0.15;0.71;4.535;NaN;NaN;NaN;0.325;0.49;1.957;NaN
18HU00062_569;821;47.4345;-62.61583;233542;14.28;07-dec-00;12:36:00;30.57;3.38;338.03154;7.412;4.9;0.145;0.71;4.535;NaN;NaN;NaN;0.295;0.475;2.033;NaN
18HU00062_569;821;47.4345;-62.61583;233543;5.45;07-dec-00;12:36:00;30.57;3.38;343.52472;7.403;4.92;0.145;0.71;4.52;NaN;NaN;NaN;0.285;0.49;1.928;NaN
18HU00062_570;851;47.14633;-61.4935;233545;24.69;07-dec-00;16:58:00;30.33;4.18;328.16168;7.301;4.995;0.135;0.62;3.235;NaN;NaN;NaN;0.705;0.645;2.252;NaN
18HU00062_570;851;47.14633;-61.4935;233546;14.58;07-dec-00;16:58:00;30.33;4.17;334.01214;7.281;5.105;0.135;0.62;3.23;NaN;NaN;NaN;0.675;0.63;2.369;NaN
18HU00062_570;851;47.14633;-61.4935;233547;5.85;07-dec-00;16:58:00;30.33;4.18;339.05872;7.285;5.22;0.135;0.6;3.155;NaN;NaN;NaN;0.715;0.65;2.277;NaN
18HU00062_570;851;47.14633;-61.4935;233548;3.67;07-dec-00;16:58:00;30.33;4.17;340.26454;7.288;5.405;0.14;0.61;3.23;NaN;NaN;NaN;0.19;0.57;2.257;NaN
18HU00062_571;871;46.98017;-61.21567;233549;49.78;07-dec-00;18:44:00;31.68;2.36;299.35598;6.218;7.965;0.12;0.985;6.565;NaN;NaN;NaN;0.095;0.2;1.107;NaN
18HU00062_571;871;46.98017;-61.21567;233550;25.88;07-dec-00;18:44:00;30.52;3.95;321.41802;7.172;7.335;0.15;0.765;4.96;NaN;NaN;NaN;0.28;0.39;2.591;NaN
18HU00062_571;871;46.98017;-61.21567;233551;15.57;07-dec-00;18:44:00;30.52;3.96;327.1345;7.179;7.27;0.14;0.765;4.985;NaN;NaN;NaN;0.255;0.375;2.716;NaN
18HU00062_571;871;46.98017;-61.21567;233552;5.65;07-dec-00;18:44:00;30.52;3.96;332.76166;7.173;7.3;0.145;0.77;4.955;NaN;NaN;NaN;0.22;0.33;2.778;NaN
18HU00062_571;871;46.98017;-61.21567;233553;3.77;07-dec-00;18:44:00;30.52;3.95;333.87816;7.175;7.17;0.145;0.775;4.985;NaN;NaN;NaN;0.385;0.46;2.873;NaN
