CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;Si_01;PO4_01;NOx_01;OXYM_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18PZ96058_508;61;47.18217;-59.79883;182040;0.5;30-nov-96;23:43:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.45;0.59
18PZ96058_509;71;47.28317;-59.68283;182041;463.48;01-dec-96;01:43:00;34.87;5.3;160.68668;35.65;1.74;23.43;3.672;0.01;0.01
18PZ96058_509;71;47.28317;-59.68283;182042;396.29;01-dec-96;01:43:00;34.84;5.44;166.67112;32;1.695;24.02;3.6095;0;0.01
18PZ96058_509;71;47.28317;-59.68283;182043;347.58;01-dec-96;01:43:00;34.79;5.61;156.93524;19.34;1.21;14.355;3.455;0;0.01
18PZ96058_509;71;47.28317;-59.68283;182044;298.57;01-dec-96;01:43:00;34.67;5.66;145.01102;20.825;1.31;16.29;3.21;0;0.01
18PZ96058_509;71;47.28317;-59.68283;182045;247.27;01-dec-96;01:43:00;34.52;5.78;154.92554;24.63;1.55;22.475;3.58;0.01;0.01
18PZ96058_509;71;47.28317;-59.68283;182046;199.13;01-dec-96;01:43:00;34.19;5.38;192.66324;17.325;1.27;16.62;4.402;0.01;0.01
18PZ96058_509;71;47.28317;-59.68283;182047;149.49;01-dec-96;01:43:00;33.2;1.88;283.05508;13.435;1.17;12;6.232;0.02;0.03
18PZ96058_509;71;47.28317;-59.68283;182048;99.34;01-dec-96;01:43:00;32.53;1.99;321.19472;7.09;0.93;7.58;7.097;0.05;0.07
18PZ96058_509;71;47.28317;-59.68283;182049;49.88;01-dec-96;01:43:00;31.82;6.03;333.92282;2.155;0.48;1.385;7.224;0.16;0.23
18PZ96058_509;71;47.28317;-59.68283;182050;4.76;01-dec-96;01:43:00;31.51;5.35;343.07812;2.38;0.5;1.235;7.356;0.27;0.36
18PZ96058_509;71;47.28317;-59.68283;182051;24.79;01-dec-96;01:43:00;31.51;5.36;340.26454;2.355;0.485;1.23;7.27;0.3;0.39
18PZ96058_509;71;47.28317;-59.68283;182052;14.87;01-dec-96;01:43:00;31.51;5.36;341.8723;2.265;0.46;1.15;NaN;0.37;0.51
18PZ96058_509;71;47.28317;-59.68283;182053;0.5;01-dec-96;01:43:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.43;0.54
18PZ96058_510;81;47.38317;-59.56683;182054;461.2;01-dec-96;03:40:00;34.88;5.27;162.51774;27.525;1.395;17.995;3.57;0.01;0.01
18PZ96058_510;81;47.38317;-59.56683;182055;400.44;01-dec-96;03:40:00;34.86;5.36;168.99344;33.715;1.72;23.77;3.348;0;0.01
18PZ96058_510;81;47.38317;-59.56683;182056;349.16;01-dec-96;03:40:00;34.8;5.65;169.57402;16.86;1.04;14.695;3.657;0;0.01
18PZ96058_510;81;47.38317;-59.56683;182057;301.54;01-dec-96;03:40:00;34.7;5.92;162.07114;17.155;1.235;17.435;3.641;0;0.01
18PZ96058_510;81;47.38317;-59.56683;182058;251.93;01-dec-96;03:40:00;34.48;5.78;163.81288;21.14;1.45;20.37;3.6625;0.01;0.01
18PZ96058_510;81;47.38317;-59.56683;182059;201.51;01-dec-96;03:40:00;34.28;5.91;202.13116;17.625;1.335;17.785;4.446;0.01;0.02
18PZ96058_510;81;47.38317;-59.56683;182060;152.76;01-dec-96;03:40:00;33.28;2.12;286.22594;9.245;0.905;8.43;6.286;0.03;0.05
18PZ96058_510;81;47.38317;-59.56683;182061;103.31;01-dec-96;03:40:00;32.75;0.81;319.45298;6.6;0.775;6.88;7.073;0.04;0.06
18PZ96058_510;81;47.38317;-59.56683;182062;53.25;01-dec-96;03:40:00;31.85;5.34;337.49562;2.075;0.495;1.765;7.282;0.35;0.36
18PZ96058_510;81;47.38317;-59.56683;182063;9.02;01-dec-96;03:40:00;31.82;5.3;344.73054;1.755;0.45;1.03;7.302;0.35;0.53
18PZ96058_510;81;47.38317;-59.56683;182064;24.79;01-dec-96;03:40:00;31.82;5.33;342.05094;1.555;0.4;0.84;7.306;0.27;0.46
18PZ96058_510;81;47.38317;-59.56683;182065;14.87;01-dec-96;03:40:00;31.82;5.3;343.70336;1.9;0.49;1.1;NaN;0.36;0.59
18PZ96058_510;81;47.38317;-59.56683;182066;0.5;01-dec-96;03:40:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.32;0.55
18PZ96058_511;91;47.4835;-59.45;182067;435.17;01-dec-96;05:48:00;34.87;5.27;174.3973;31.895;1.59;21.885;3.74;0.01;0.01
18PZ96058_511;91;47.4835;-59.45;182068;399.84;01-dec-96;05:48:00;34.87;5.3;179.22058;28.495;1.49;19.865;3.849;0;0.01
18PZ96058_511;91;47.4835;-59.45;182069;349.36;01-dec-96;05:48:00;34.78;5.68;184.84774;19.425;1.32;19.355;3.964;0.01;0.01
18PZ96058_511;91;47.4835;-59.45;182070;300.05;01-dec-96;05:48:00;34.68;5.95;162.87502;23.805;1.585;23.475;3.631;0.01;0.01
18PZ96058_511;91;47.4835;-59.45;182071;247.86;01-dec-96;05:48:00;34.53;6.25;179.89048;16.905;1.29;18.68;4.196;0.01;0.01
18PZ96058_511;91;47.4835;-59.45;182072;196.25;01-dec-96;05:48:00;33.89;4.92;254.91928;11;0.965;11.42;5.546;0.02;0.03
18PZ96058_511;91;47.4835;-59.45;182073;152.76;01-dec-96;05:48:00;33.1;1.36;290.60262;10.64;1.01;9.96;6.459;0.02;0.03
18PZ96058_511;91;47.4835;-59.45;182074;101.92;01-dec-96;05:48:00;32.69;0.96;323.02578;7.265;0.965;7.975;7.292;0.05;0.07
18PZ96058_511;91;47.4835;-59.45;182075;52.65;01-dec-96;05:48:00;31.86;5.36;337.8529;1.515;0.39;1.07;7.281;0.5;0.47
18PZ96058_511;91;47.4835;-59.45;182076;8.92;01-dec-96;05:48:00;31.84;5.3;348.70528;1.46;0.43;0.75;7.449;0.38;0.52
18PZ96058_511;91;47.4835;-59.45;182077;24.79;01-dec-96;05:48:00;31.84;5.3;344.01598;1.535;0.465;1.175;7.3265;0.4;0.54
18PZ96058_511;91;47.4835;-59.45;182078;14.87;01-dec-96;05:48:00;31.84;5.3;350.98294;1.545;0.425;0.825;NaN;0.34;0.46
18PZ96058_511;91;47.4835;-59.45;182079;0.5;01-dec-96;05:48:00;NaN;NaN;NaN;1.605;0.52;1.345;NaN;0.71;0.67
