CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU13008_125;HL_15;40.1481;-59.8488;392836;1198.73;24-may-13;17:32:00;34.9884;4.4419;5.6426;NaN;NaN;NaN;NaN;34.9887;NaN;5.861;0.17;17.205;1.256;11.925
18HU13008_125;HL_15;40.1481;-59.8488;392837;959.15;24-may-13;17:32:00;35.012;4.9362;5.4038;NaN;NaN;NaN;NaN;35.012;NaN;5.6;0;17.6;1.2535;11.9
18HU13008_125;HL_15;40.1481;-59.8488;392838;730.47;24-may-13;17:32:00;35.06;6.2787;4.5104;NaN;NaN;NaN;NaN;35.0598;NaN;4.669;0.17;20.1;1.404;13.52
18HU13008_125;HL_15;40.1481;-59.8488;392839;515.08;24-may-13;17:32:00;35.2521;9.8394;3.1211;NaN;NaN;NaN;NaN;35.2521;NaN;3.193;0.17;22.74;1.538;13.425
18HU13008_125;HL_15;40.1481;-59.8488;392840;329.56;24-may-13;17:32:00;35.8705;14.2758;4.4685;NaN;NaN;NaN;NaN;35.9149;NaN;4.812;0.17;9.11;0.59;4.03
18HU13008_125;HL_15;40.1481;-59.8488;392841;193.94;24-may-13;17:32:00;36.461;17.5163;4.2631;NaN;NaN;NaN;NaN;36.46;NaN;4.414;0.17;5.065;0.3435;2.025
18HU13008_125;HL_15;40.1481;-59.8488;392842;99.94;24-may-13;17:32:00;36.5495;18.5507;4.8348;0.021;NaN;NaN;NaN;36.5492;NaN;5.003;0.18;1.86;0.0955;1.12
18HU13008_125;HL_15;40.1481;-59.8488;392843;49.04;24-may-13;17:32:00;36.6826;20.9637;4.2782;0.2597;NaN;NaN;NaN;36.685;NaN;4.433;0.275;2.135;0.1115;1.14
18HU13008_125;HL_15;40.1481;-59.8488;392844;2.65;24-may-13;17:32:00;36.1979;22.3748;4.8004;0.1785;NaN;NaN;NaN;NaN;NaN;4.974;0.17;0;0.046;0.67
18HU13008_129;HL_14;40.598;-60.1363;392845;5050.72;25-may-13;00:52:00;34.8763;2.2442;5.7386;NaN;39.04;1.384;20.12;34.8765;0.065;6.001;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392846;4930.5;25-may-13;00:52:00;34.8796;2.2597;5.7467;NaN;36.55;1.358;19.81;34.8799;NaN;6.043;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392847;4731.46;25-may-13;00:52:00;34.8825;2.2596;5.7619;NaN;34.64;1.3355;19.72;34.8828;0;5.996;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392848;4497.33;25-may-13;00:52:00;34.8856;2.2613;5.7968;NaN;33.04;1.3185;19.46;34.8852;0;6.133;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392849;4249.62;25-may-13;00:52:00;34.8898;2.2751;5.8355;NaN;30.365;1.2755;19.285;34.8893;0;6.14967;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392850;4001.2;25-may-13;00:52:00;34.8943;2.3115;5.8122;NaN;28.455;1.265;18.885;34.8939;0;6.193;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392851;3751.05;25-may-13;00:52:00;34.9012;2.3926;5.8503;NaN;25.9;1.2305;18.53;34.9012;0.06;6.214;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392852;3471.36;25-may-13;00:52:00;34.9112;2.5367;5.8509;NaN;23.685;1.2085;17.96;34.9112;0.06;6.218;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392853;3181.96;25-may-13;00:52:00;34.9243;2.761;5.8244;NaN;21.58;1.191;18.43;34.92383;0;6.18;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392854;2880.28;25-may-13;00:52:00;34.9404;3.098;5.7742;NaN;19.005;1.1825;18.525;34.9388;0;6.14;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392855;2572.61;25-may-13;00:52:00;34.9454;3.2489;5.7594;NaN;17.805;1.175;18.225;34.9445;0;6.138;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392856;2281.01;25-may-13;00:52:00;34.9467;3.3494;5.7906;NaN;16.365;1.175;17.925;34.9467;0;6.149;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392857;2000.3;25-may-13;00:52:00;34.9494;3.4685;5.7681;NaN;15.245;1.1615;18.195;34.9485;0;6.158;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392858;1718.89;25-may-13;00:52:00;34.9521;3.6179;5.8068;NaN;14.065;1.1585;18.105;34.9542;0;6.11967;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392859;1454.38;25-may-13;00:52:00;34.9649;3.9375;5.726;NaN;12.805;1.167;17.855;34.9666;0;6.077;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392860;1201.12;25-may-13;00:52:00;34.9761;4.2656;5.6158;NaN;11.53;1.1595;18.12;34.9771;0;6;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392861;961.35;25-may-13;00:52:00;34.9983;4.6708;5.4655;NaN;11.83;1.17;17.46;34.9981;0;5.767;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392862;730.58;25-may-13;00:52:00;35.0292;5.3738;5.0731;NaN;12.295;1.245;18.815;35.0286;0;5.288;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392863;514.18;25-may-13;00:52:00;35.0938;7.3744;3.9115;NaN;13.75;1.414;21.985;35.0936;0;4.043;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392864;329;25-may-13;00:52:00;35.4471;11.345;3.1722;NaN;10.705;1.2505;19.695;35.4459;0;3.321;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392865;196.43;25-may-13;00:52:00;35.7978;13.7072;3.5249;NaN;6.425;0.861;14.49;35.7961;0;3.684;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392866;99.05;25-may-13;00:52:00;35.4675;13.3023;5.071;0.049;2.53;0.375;6.48;35.4667;0.395;5.401;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392867;50.26;25-may-13;00:52:00;35.3161;14.7998;5.4277;0.3677;0.495;NaN;0.59;35.3141;0.09;5.749;NaN;NaN;NaN;NaN
18HU13008_129;HL_14;40.598;-60.1363;392868;2.87;25-may-13;00:52:00;34.3131;13.7731;6.074;1.4154;0.53;0;0;34.3115;0;6.398;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392869;4933.4;25-may-13;08:05:00;34.8776;2.2346;5.8204;NaN;NaN;NaN;NaN;35.2808;NaN;5.928;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392870;4802.04;25-may-13;08:05:00;34.8794;2.2382;5.7669;NaN;38.805;1.4075;19.85;34.8792;0.035;6.032;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392871;4620.37;25-may-13;08:05:00;34.8829;2.2405;5.8203;NaN;34.26;1.3775;19.56;34.8825;0.03;6.076;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392872;4389.74;25-may-13;08:05:00;34.8862;2.2419;5.875;NaN;32.045;1.348;19.465;34.8855;0.06;6.134;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392873;4161.62;25-may-13;08:05:00;34.8881;2.2446;5.8544;NaN;31.225;1.339;19.25;34.8884;0.04;6.08733;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392874;3952.09;25-may-13;08:05:00;34.8914;2.2631;5.8846;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392875;3722.25;25-may-13;08:05:00;34.8965;2.31;5.9063;NaN;27.765;1.274;18.535;34.8957;0.035;6.194;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392876;3468.74;25-may-13;08:05:00;34.9043;2.4074;5.9234;NaN;25.53;1.264;18.27;34.9033;0.03;6.21;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392877;3180.91;25-may-13;08:05:00;34.9147;2.5714;5.9035;NaN;24.41;1.253;18.11;34.91433;0.03;6.212;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392878;2878.55;25-may-13;08:05:00;34.9265;2.8012;5.911;NaN;20.165;1.236;17.875;34.9255;0.04;6.194;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392879;2570.76;25-may-13;08:05:00;34.9408;3.071;5.8385;NaN;19.525;1.2615;18.265;34.9407;0.035;6.126;NaN;NaN;NaN;NaN
18HU13008_132;HL_13;41.021;-60.4183;392880;2278.41;25-may-13;08:05:00;34.9478;3.303;5.8542;NaN;17.105;1.2355;18.07;34.9474;0.03;6.131;NaN;NaN;NaN;NaN
