CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL04524_225;SEGB-02;46.5;-52.85;258052;165;18-apr-04;07:19:00;166.7;32.779;7.68920734437976;-0.26;NaN;NaN;NaN;NaN
18TL04524_264;SEGB-03;46.35;-52.7333;258053;162;18-apr-04;08:45:00;163.25;33.288;8.00044782803404;0.52;12.36;0.8;10.32;NaN
18TL04524_264;SEGB-03;46.35;-52.7333;258054;152;18-apr-04;08:45:00;153.46;33.244;7.98029556650246;0.47;12.28;0.98;10.93;NaN
18TL04524_264;SEGB-03;46.35;-52.7333;258055;100;18-apr-04;08:45:00;100.64;32.986;8.06090461262875;0.11;6.74;0.55;7.41;0.27
18TL04524_264;SEGB-03;46.35;-52.7333;258056;74;18-apr-04;08:45:00;74.58;32.828;7.66905508284819;0.02;5.23;0.71;5.82;0.57
18TL04524_264;SEGB-03;46.35;-52.7333;258057;49;18-apr-04;08:45:00;49.49;32.78;7.63098969995522;0.52;3.67;0.5;4.69;0.89
18TL04524_264;SEGB-03;46.35;-52.7333;258058;38;18-apr-04;08:45:00;38.48;32.753;7.51903269144649;0.57;2.07;0.34;3.8;1.6
18TL04524_264;SEGB-03;46.35;-52.7333;258059;28;18-apr-04;08:45:00;28.52;32.754;7.51007613076579;0.9;1.86;0.36;3.08;1.86
18TL04524_264;SEGB-03;46.35;-52.7333;258060;18;18-apr-04;08:45:00;18.19;32.495;7.14957456336767;1.05;1.39;0.26;0.58;5.79
18TL04524_264;SEGB-03;46.35;-52.7333;258061;9;18-apr-04;08:45:00;8.8;32.237;6.69950738916256;1.55;1.29;0.26;0.48;3.21
18TL04524_264;SEGB-03;46.35;-52.7333;258062;4;18-apr-04;08:45:00;4.48;32.24;6.65920286609942;1.53;1.61;0.26;0.6;2.97
18TL04524_279;FC-12;47;-48.1167;258247;126;25-apr-04;17:17:00;127.35;33.563;8.99910434393193;0.81;8.26;0.7;9.65;NaN
18TL04524_279;FC-12;47;-48.1167;258248;100;25-apr-04;17:17:00;100.5;33.415;8.96999552171966;0.51;7.49;0.74;9.07;1.55
18TL04524_279;FC-12;47;-48.1167;258249;75;25-apr-04;17:17:00;75.7;33.236;8.92073443797582;-0.02;5.49;0.67;7.62;0.89
18TL04524_279;FC-12;47;-48.1167;258250;49;25-apr-04;17:17:00;49.13;32.786;8.8692342140618;-0.11;2.91;0.5;3.75;4.6
18TL04524_279;FC-12;47;-48.1167;258251;39;25-apr-04;17:17:00;39.78;32.713;8.79982086878639;-0.04;1.83;0.34;2.41;8.37
18TL04524_279;FC-12;47;-48.1167;258252;29;25-apr-04;17:17:00;29.48;32.707;8.52888490819525;-0.04;2.89;0.58;2.42;8.26
18TL04524_279;FC-12;47;-48.1167;258253;21;25-apr-04;17:17:00;20.76;32.683;7.98925212718316;0;1.89;0.47;1.82;7.34
18TL04524_279;FC-12;47;-48.1167;258254;10;25-apr-04;17:17:00;10.5;32.674;7.66009852216749;0.06;1.9;0.45;1.85;6.07
18TL04524_279;FC-12;47;-48.1167;258255;6;25-apr-04;17:17:00;6.05;32.672;7.49888042991491;0.06;2.02;0.45;1.83;6.11
18TL04524_280;FC-11;47;-48.6167;258256;93;25-apr-04;20:19:00;93.49;33.295;7.44066278549037;0.33;NaN;NaN;NaN;NaN
18TL04524_282;FC-09;47;-50;258257;74;26-apr-04;03:19:00;75.11;32.853;8.26018808777429;1.34;3.01;0.42;1.68;5.79
18TL04524_282;FC-09;47;-50;258258;49;26-apr-04;03:19:00;49.51;32.815;8.26914464845499;1.45;2.58;0.4;0.92;5.57
18TL04524_282;FC-09;47;-50;258259;40;26-apr-04;03:19:00;40.35;32.813;8.26914464845499;1.45;2.37;0.51;2.67;5.42
18TL04524_282;FC-09;47;-50;258260;30;26-apr-04;03:19:00;30.7;32.812;8.26914464845499;1.45;2.36;0.51;3.11;5.87
18TL04524_282;FC-09;47;-50;258261;20;26-apr-04;03:19:00;20.53;32.812;8.26018808777429;1.45;2.12;0.45;0.92;5.08
18TL04524_282;FC-09;47;-50;258262;10;26-apr-04;03:19:00;9.96;32.811;8.22884012539185;1.45;2.35;0.49;1.86;5.27
18TL04524_282;FC-09;47;-50;258263;5;26-apr-04;03:19:00;5.52;32.81;8.13927451858486;1.45;2.37;0.51;1.6;5.34
18TL04524_284;SEGB-04;46.2083;-52.6083;258063;122;18-apr-04;11:01:00;122.57;33.234;6.88983430362741;0.45;NaN;NaN;NaN;NaN
18TL04524_285;FC-07;47;-51;258264;94;26-apr-04;08:30:00;95.21;33.405;8.410210479176;0.69;13.77;1.14;12.3;0.77
18TL04524_285;FC-07;47;-51;258265;76;26-apr-04;08:30:00;76.22;33.378;8.410210479176;0.65;11.81;1.08;10.03;0.74
18TL04524_285;FC-07;47;-51;258266;50;26-apr-04;08:30:00;50.84;32.758;8.39901477832512;0.84;1.9;0.48;3.14;5.18
18TL04524_285;FC-07;47;-51;258267;41;26-apr-04;08:30:00;41.34;32.734;8.36990595611285;0.92;2.01;0.44;1.46;6.02
18TL04524_285;FC-07;47;-51;258268;31;26-apr-04;08:30:00;31.31;32.726;8.32960143304971;0.93;1.69;0.41;1.79;5.62
18TL04524_285;FC-07;47;-51;258269;21;26-apr-04;08:30:00;20.97;32.726;8.21092700403045;0.93;1.57;0.42;0.16;5.38
