CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18NE95008_488;771;47.98635;-63.15892;143;5.06;17-sep-95;01:13:00;29.98;12.37;NaN;6.33;2.11;0.08;0.6;0.47;0.59;0.62
18NE95008_488;771;47.98635;-63.15892;144;14.87;17-sep-95;01:13:00;30.22;12.08;NaN;6.32;1.95;0.09;0.82;0.48;0.73333;0.63
18NE95008_488;771;47.98635;-63.15892;145;58.6;17-sep-95;01:13:00;31.8;-0.53;228.2126;6.045;21.55;0.14;11.51;1.5;0.05;0.11
18NE95008_489;801;47.8147;-63.4824;146;1.09;17-sep-95;03:36:00;29.66;11.92;NaN;6.38;2.42;0.07;0.04;0.5;0.65;0.69
18NE95008_489;801;47.8147;-63.4824;147;5.06;17-sep-95;03:36:00;29.66;11.92;NaN;6.38;2.23;0.07;0.03;0.44;0.65;0.67
18NE95008_489;801;47.8147;-63.4824;148;14.97;17-sep-95;03:36:00;29.68;11.91;NaN;5.76;3.05;0.07;0.03;0.5;0.83667;0.75667
18NE95008_489;801;47.8147;-63.4824;149;46.7;17-sep-95;03:36:00;31.88;-0.49;261.61828;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18NE95008_489;801;47.8147;-63.4824;150;62.46;17-sep-95;03:36:00;32.19;-0.29;239.95818;5.76;20.61;0.18;13.3;1.58;0.04;0.12
18NE95008_490;91;45.799;-61.7535;91_1;1.09;24-sep-95;06:23:00;28.49;15.91;237.05528;NaN;NaN;0.16;0.82;0.39667;0.99;1.04
18NE95008_490;91;45.799;-61.7535;91_2;5.26;24-sep-95;06:23:00;28.5;15.91;237.09994;NaN;1.82;0.17;0.67;0.4;0.91;0.95
18NE95008_490;91;45.799;-61.7535;91_3;22.02;24-sep-95;06:23:00;28.46;15.92;237.27858;NaN;1.86;0.19;0.68;0.4;1.06;1.11
18NE95008_491;941;47.8652;-61.53317;168;0.69;12-sep-95;20:18:00;30.28;11.95;281.5813;NaN;2.02;0.08;1.51;0.51;0.38;0.58
