CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_277;43;42.5;-63.4967;-104;30;05-jul-76;06:45:00;32.91;5.9;0.11;0.24;2.83
18HU76020_277;43;42.5;-63.4967;-105;40;05-jul-76;06:45:00;33.42;5.9;1.09;0.34;5
18HU76020_277;43;42.5;-63.4967;-106;50;05-jul-76;06:45:00;33.32;5.9;3.14;0.56;4.91
18HU76020_277;43;42.5;-63.4967;-107;75;05-jul-76;06:45:00;34.05;4.9;6.9;0.82;8.73
18HU76020_277;43;42.5;-63.4967;-108;100;05-jul-76;06:45:00;34.57;4.4;8.76;0.96;9.43
18HU76020_277;43;42.5;-63.4967;-109;125;05-jul-76;06:45:00;35;4;10.82;0.92;NaN
18HU76020_277;43;42.5;-63.4967;-110;150;05-jul-76;06:45:00;35.09;3.6;15.95;1.11;11.53
18HU76020_278;44;42.6667;-63.4858;-111;10;05-jul-76;11:28:00;31.7;5.6;0.04;0.3;2.31
18HU76020_278;44;42.6667;-63.4858;-112;30;05-jul-76;11:28:00;32.7;5.8;0.04;0.2;2.12
18HU76020_278;44;42.6667;-63.4858;-113;40;05-jul-76;11:28:00;33.26;5.8;0.1;0.22;2.62
18HU76020_278;44;42.6667;-63.4858;-114;50;05-jul-76;11:28:00;33.59;5.7;2.63;0.47;4.54
18HU76020_278;44;42.6667;-63.4858;-115;75;05-jul-76;11:28:00;34.23;5;8.99;0.72;7.24
18HU76020_278;44;42.6667;-63.4858;-116;100;05-jul-76;11:28:00;35.07;4.3;11.08;0.85;7.57
18HU76020_278;44;42.6667;-63.4858;-117;125;05-jul-76;11:28:00;35.21;4.3;13.08;1.03;9.03
18HU76020_278;44;42.6667;-63.4858;-118;150;05-jul-76;11:28:00;35.2;3.7;14.52;1.23;11.85
18HU76020_280;46;42;-63.4917;-159;10;07-jul-76;05:05:00;31.93;5.7;0.16;0.27;1.48
18HU76020_280;46;42;-63.4917;-160;30;07-jul-76;05:05:00;32.61;5.9;0.26;0.54;3.38
18HU76020_280;46;42;-63.4917;-161;40;07-jul-76;05:05:00;32.51;6.2;1.38;0.52;2.31
18HU76020_280;46;42;-63.4917;-162;50;07-jul-76;05:05:00;32.45;6.5;6.17;0.62;7.39
18HU76020_280;46;42;-63.4917;-163;75;07-jul-76;05:05:00;NaN;NaN;6.23;0.86;7.22
18HU76020_280;46;42;-63.4917;-164;100;07-jul-76;05:05:00;NaN;NaN;9.66;1;9.61
18HU76020_280;46;42;-63.4917;-165;125;07-jul-76;05:05:00;34.72;4.2;11.27;1.08;12.1
18HU76020_280;46;42;-63.4917;-166;150;07-jul-76;05:05:00;34.86;3.8;15.62;1.14;9.1
18HU76020_281;47;41.8333;-63.4967;-167;10;07-jul-76;06:44:00;33.81;5.2;0;0.1;2.51
18HU76020_281;47;41.8333;-63.4967;-168;30;07-jul-76;06:44:00;34.64;5.5;0;0.04;1.95
18HU76020_281;47;41.8333;-63.4967;-169;40;07-jul-76;06:44:00;35.81;4.9;2.27;NaN;NaN
18HU76020_281;47;41.8333;-63.4967;-170;50;07-jul-76;06:44:00;35.87;4.3;4.72;0.5;4.94
18HU76020_281;47;41.8333;-63.4967;-171;75;07-jul-76;06:44:00;35.63;4.2;7.36;NaN;NaN
18HU76020_281;47;41.8333;-63.4967;-172;100;07-jul-76;06:44:00;35.64;4.2;NaN;NaN;NaN
18HU76020_281;47;41.8333;-63.4967;-173;125;07-jul-76;06:44:00;35.62;4.3;7.89;0.76;6.15
18HU76020_281;47;41.8333;-63.4967;-174;150;07-jul-76;06:44:00;35.55;3.8;13;0.9;8.19
