CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_281;STN27;47.5467;-52.5867;257620;175;26-nov-03;14:54:00;33.16;6.73193909538737;-0.96;14.09;0.91;9.29;NaN
18HU03075_281;STN27;47.5467;-52.5867;257621;151;26-nov-03;14:54:00;32.87;7.1519368562472;-1.1;9.01;0.71;6.6;0.03
18HU03075_281;STN27;47.5467;-52.5867;257622;99;26-nov-03;14:54:00;32.5;7.40193237796686;1.5;5.41;0.81;3.19;0.2
18HU03075_281;STN27;47.5467;-52.5867;257623;75;26-nov-03;14:54:00;32.16;7.27993506493507;2.5;4.09;0.48;2.01;0.14
18HU03075_281;STN27;47.5467;-52.5867;257624;49;26-nov-03;14:54:00;31.87;7.22693461710703;3.61;3.48;0.48;1.67;0.36
18HU03075_281;STN27;47.5467;-52.5867;257625;39;26-nov-03;14:54:00;31.87;7.2229355127631;3.64;3.63;0.48;1.26;0.4
18HU03075_281;STN27;47.5467;-52.5867;257626;29;26-nov-03;14:54:00;31.86;7.19893640841917;3.7;3.42;0.45;1.44;0.33
18HU03075_281;STN27;47.5467;-52.5867;257627;20;26-nov-03;14:54:00;31.82;7.17193461710703;3.9;3.32;0.37;1.38;0.31
18HU03075_281;STN27;47.5467;-52.5867;257628;9;26-nov-03;14:54:00;31.7;7.20193461710703;4.22;3.06;0.43;1.08;0.45
18HU03075_281;STN27;47.5467;-52.5867;257629;4;26-nov-03;14:54:00;31.62;7.1519368562472;4.68;2.93;0.44;1.11;0.6
18HU03075_282;FC-08;47;-50.6667;257630;172;26-nov-03;22:16:00;33.25;6.74094043887147;-0.96;NaN;NaN;NaN;NaN
