CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
89037_275;41;39.43;-50.24;66677;533;25-jan-90;06:48:00;538;15.721;36.122;4.473;2.78;0.43;7.64
89037_275;41;39.43;-50.24;66678;220;25-jan-90;06:48:00;222;18.534;36.543;4.841;1.15;0.13;2.62
89037_275;41;39.43;-50.24;66679;102;25-jan-90;06:48:00;103;18.741;36.54;5.151;1;0.1;1.53
89037_275;41;39.43;-50.24;66680;16;25-jan-90;06:48:00;16;18.73;36.539;5.154;0.93;0.09;1.38
89037_276;42;39.02;-50.26;66681;5347;25-jan-90;12:00:00;5456;2.288;34.888;6.054;35.22;1.32;18.65
89037_276;42;39.02;-50.26;66682;4966;25-jan-90;12:00:00;5063;2.287;34.889;6.111;35.17;1.42;19.97
89037_276;42;39.02;-50.26;66683;4415;25-jan-90;12:00:00;4496;2.311;34.9;6.197;29.27;1.27;19.43
89037_276;42;39.02;-50.26;66684;1958;25-jan-90;12:00:00;1982;4.131;35.002;6.059;12.8;1.18;18.84
89037_276;42;39.02;-50.26;66685;982;25-jan-90;12:00:00;992;8.376;35.186;4.038;12.59;1.39;22.51
89037_276;42;39.02;-50.26;66686;736;25-jan-90;12:00:00;743;13.01;35.682;4.036;6.64;0.91;15.65
89037_276;42;39.02;-50.26;66687;479;25-jan-90;12:00:00;483;16.503;36.248;4.396;2.81;0.39;8.02
89037_276;42;39.02;-50.26;66688;248;25-jan-90;12:00:00;250;18.583;36.531;4.707;1.27;0.15;3
89037_276;42;39.02;-50.26;66689;99;25-jan-90;12:00:00;100;18.837;NaN;5.181;0.95;0.08;1.33
89037_276;42;39.02;-50.26;66690;16;25-jan-90;12:00:00;16;18.825;36.538;5.174;0.92;0.1;1.27
89037_277;43;38.53;-50.25;66691;5350;25-jan-90;18:09:00;5459;2.278;34.891;5.996;37.36;1.49;18.9
89037_277;43;38.53;-50.25;66692;4823;25-jan-90;18:09:00;4916;2.278;34.888;6.105;32.47;1.3;20.07
89037_277;43;38.53;-50.25;66693;4378;25-jan-90;18:09:00;4457;2.303;34.905;6.172;29.55;1.21;19.33
89037_277;43;38.53;-50.25;66694;1892;25-jan-90;18:09:00;1915;4.081;34.978;6.143;11.96;1.13;18.05
89037_277;43;38.53;-50.25;66695;960;25-jan-90;18:09:00;970;8.195;35.158;4.02;12.78;1.44;22.52
