CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18NA96022_244;CAST#1;46.1837;-60.5648;175766;36;24-sep-96;16:25:00;26.569;14.733;5.734;3.74;0.2395;0.3965;0.55;0.7209
18NA96022_244;CAST#1;46.1837;-60.5648;175767;15;24-sep-96;16:25:00;25.315;15.74;5.268;4.185;0.1715;0.4135;0.33;0.4005
18NA96022_244;CAST#1;46.1837;-60.5648;175768;1;24-sep-96;16:25:00;24.542;15.989;5.704;4.1;0.1645;0.2555;0.29;0.801
18NA96022_247;CAST#1;46.035;-60.7297;175769;177;24-sep-96;17:53:00;25.612;0.405;7.297;10.2;0.343;0.8435;7.025;NaN
18NA96022_247;CAST#1;46.035;-60.7297;175770;150;24-sep-96;17:53:00;25.605;0.435;7.327;9.885;0.118;0.7925;6.89;NaN
18NA96022_247;CAST#1;46.035;-60.7297;175771;100;24-sep-96;17:53:00;25.579;0.707;7.3;9.755;0.124;0.7865;6.775;NaN
18NA96022_247;CAST#1;46.035;-60.7297;175772;75;24-sep-96;17:53:00;25.456;2.533;6.881;8.285;0.1275;0.704;6.16;NaN
18NA96022_247;CAST#1;46.035;-60.7297;175773;40;24-sep-96;17:53:00;25.062;6.734;6.14;8.085;0.1235;0.644;5.1;0.2403
18NA96022_247;CAST#1;46.035;-60.7297;175774;7;24-sep-96;17:53:00;22.806;15.189;6.051;4.23;0.0955;0.2545;0.045;0.7209
18NA96022_253;CAST#1;45.9847;-60.7678;175775;20;24-sep-96;18:45:00;23.195;13.97;5.822;4.275;0.2055;0.3095;1.03;0.7209
18NA96022_253;CAST#1;45.9847;-60.7678;175776;2;24-sep-96;18:45:00;22.707;14.82;5.976;4.36;0.154;0.242;0.42;1.1214
18NA96022_257;CAST#1;45.9542;-60.8037;175777;25;25-sep-96;11:06:00;22.337;13.903;5.949;4.29;0.1855;0.2465;0.51;0.6408
18NA96022_257;CAST#1;45.9542;-60.8037;175778;7;25-sep-96;11:06:00;22.211;13.867;6.005;3.86;0.173;0.222;0.31;0.6408
18NA96022_261;CAST#1;45.894;-60.9085;175779;15;25-sep-96;11:53:00;22.485;13.853;5.765;4.795;0.327;0.3245;1.185;0.8811
