CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL01003_171;SEGB-19;42.0817;-49.27;222758;5;24-apr-01;05:23:00;5.51;34.612;7.428934169279;9.838;0;0.14;0.12;3.59;3.16
18TL01003_306;FC-18;47;-48.8333;222860;1180;28-apr-01;04:12:00;1186.8;34.88;6.94793775190327;3.3;10.96;1.63;16.51;NaN;NaN
18TL01003_306;FC-18;47;-48.8333;222861;149;28-apr-01;04:12:00;150.11;34.6;6.88393864755934;3.41;8.91;1.73;15.82;NaN;NaN
18TL01003_306;FC-18;47;-48.8333;222862;100;28-apr-01;04:12:00;100.44;34.35;7.97392745185849;2.74;7.13;1.15;10.02;0.36;0.34
18TL01003_306;FC-18;47;-48.8333;222863;75;28-apr-01;04:12:00;76.11;34.27;8.19692566054635;2.71;5.97;1.19;9.17;0.77;0.75
18TL01003_306;FC-18;47;-48.8333;222864;49;28-apr-01;04:12:00;49.72;34.21;8.20792655620242;2.72;5.75;0.97;8.68;1.55;1.46
18TL01003_306;FC-18;47;-48.8333;222865;40;28-apr-01;04:12:00;40.09;34.08;8.25992610837439;2.38;6.15;0.96;9.92;1.88;1.64
18TL01003_306;FC-18;47;-48.8333;222866;30;28-apr-01;04:12:00;30.47;34.07;8.28892521271832;2.38;6.29;1.19;9.89;2.35;2.09
18TL01003_306;FC-18;47;-48.8333;222867;20;28-apr-01;04:12:00;20.47;34.06;8.32292431706225;2.41;8.36;1.15;8.11;2.1;2.01
18TL01003_306;FC-18;47;-48.8333;222868;10;28-apr-01;04:12:00;10.34;34.06;8.33592476489028;2.45;7.72;1.01;8.95;1.81;1.57
18TL01003_306;FC-18;47;-48.8333;222869;5;28-apr-01;04:12:00;5.41;34.06;8.33992610837439;2.69;6.24;0.9;9.46;1.72;1.5
18TL01003_312;FC-12;47;-48.1167;222902;128;28-apr-01;00:14:00;129.49;33.342;7.45393193013883;0.084;13.54;1.58;7.65;NaN;NaN
18TL01003_312;FC-12;47;-48.1167;222903;100;28-apr-01;00:14:00;100.63;33.208;7.81193013882669;-0.237;11.91;1.22;6.65;0.49;0.48
18TL01003_312;FC-12;47;-48.1167;222904;75;28-apr-01;00:14:00;75.27;32.961;8.47992386923421;-0.88;4.62;0.94;8.31;1.13;1
18TL01003_312;FC-12;47;-48.1167;222905;50;28-apr-01;00:14:00;49.93;32.714;9.23591804746977;0.018;0.25;0.52;2.3;4.11;4.82
18TL01003_312;FC-12;47;-48.1167;222906;40;28-apr-01;00:14:00;40.54;32.686;9.26191670398567;-0.039;0.36;0.57;2.21;4.57;5.46
18TL01003_312;FC-12;47;-48.1167;222907;30;28-apr-01;00:14:00;30.56;32.675;9.3399171518137;0.065;0;0.48;1.55;5.79;6.85
18TL01003_312;FC-12;47;-48.1167;222908;20;28-apr-01;00:14:00;20.07;32.669;9.4669144648455;0.085;0.12;0.45;1.52;5.03;5.92
18TL01003_312;FC-12;47;-48.1167;222909;10;28-apr-01;00:14:00;10.43;32.649;9.55391401701747;0.303;0.29;0.47;1.15;3.21;4.11
18TL01003_312;FC-12;47;-48.1167;222910;5;28-apr-01;00:14:00;5.53;32.644;9.47291536050157;0.528;0.35;0.54;1.11;3.29;3.81
18TL01003_313;FC-11;47;-48.6167;222911;97;28-apr-01;03:11:00;97.64;33.163;7.77892969099866;-0.254;NaN;NaN;NaN;NaN;NaN
18TL01003_314;FC-10;47;-49.1167;222912;75;28-apr-01;05:22:00;75.74;33.104;7.85792879534259;-0.258;8.59;1.1;7.22;3.24;2.94
18TL01003_314;FC-10;47;-49.1167;222913;50;28-apr-01;05:22:00;50.79;32.816;9.50591356918943;0.441;0;0.44;0;11.38;13.64
18TL01003_314;FC-10;47;-49.1167;222914;41;28-apr-01;05:22:00;40.88;32.815;9.5569144648455;0.472;0;0.38;0;13.46;17.24
18TL01003_314;FC-10;47;-49.1167;222915;31;28-apr-01;05:22:00;31.11;32.815;9.70991267353336;0.481;0;0.35;0;9.88;11.88
18TL01003_314;FC-10;47;-49.1167;222916;21;28-apr-01;05:22:00;21.07;32.802;9.86491043439319;0.552;0.08;0.44;0;11.85;14.52
18TL01003_314;FC-10;47;-49.1167;222917;11;28-apr-01;05:22:00;11.2;32.793;9.91190998656516;0.736;0;0.31;0;10.29;12.79
18TL01003_314;FC-10;47;-49.1167;222918;5;28-apr-01;05:22:00;5.31;32.793;9.90791088222123;0.733;0;0.25;0;11.08;13.5
18TL01003_315;SEGB-01;46.5833;-52.9333;222163;46;22-apr-01;04:16:00;46.22;32.306;9.04691894312584;-0.873;2.06;0.66;2.79;1.6;1.44
18TL01003_315;SEGB-01;46.5833;-52.9333;222164;30;22-apr-01;04:16:00;30.32;32.299;9.05091804746977;-0.832;1.3;0.29;0.25;1.5;1.36
18TL01003_315;SEGB-01;46.5833;-52.9333;222165;21;22-apr-01;04:16:00;20.88;32.274;9.07691894312584;-0.7;2.62;0.98;4.08;1.57;1.49
18TL01003_315;SEGB-01;46.5833;-52.9333;222166;11;22-apr-01;04:16:00;10.77;32.269;9.08091804746977;-0.661;0.88;0.51;1.62;1.62;1.47
18TL01003_315;SEGB-01;46.5833;-52.9333;222167;4;22-apr-01;04:16:00;3.75;32.26;9.11191894312584;-0.508;2.33;0.62;3.01;1.78;1.59
18TL01003_316;FC-09;47;-50;222919;76;28-apr-01;09:22:00;76.44;32.965;8.18392745185849;-0.012;3.69;1.33;4.88;6.76;8.32
18TL01003_316;FC-09;47;-50;222920;50;28-apr-01;09:22:00;50.82;32.876;9.4809158083296;0.699;0.13;0.51;0.03;7.55;9.48
18TL01003_316;FC-09;47;-50;222921;40;28-apr-01;09:22:00;40.66;32.875;9.5719144648455;0.729;0;0.33;0;7.35;8.86
18TL01003_316;FC-09;47;-50;222922;30;28-apr-01;09:22:00;30.72;32.864;9.6629131213614;0.911;0;0.25;0;5.1;6.29
18TL01003_316;FC-09;47;-50;222923;20;28-apr-01;09:22:00;20.54;32.864;9.6579131213614;0.919;0;0.28;0;5.23;6.36
