CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU98051_547;891;47.1815;-59.79667;208950;346.5;10-nov-98;16:09:00;34.73;5.35;159.70416;2.741;26.54;0.06;22.65;1.68;0;0.01;0.466
18HU98051_547;891;47.1815;-59.79667;208951;295.9;10-nov-98;16:09:00;34.6;5.42;153.67506;3.369;28.52;0.06;23.24;1.77;0.01;0.01;0.45
18HU98051_547;891;47.1815;-59.79667;208952;247.08;10-nov-98;16:09:00;34.47;5.42;164.88472;3.657;26.06;0.06;22.06;1.53;0.01;0.01;0.555
18HU98051_547;891;47.1815;-59.79667;208953;198.54;10-nov-98;16:09:00;34.21;5.07;191.05548;4.118;20.6;0.06;19.34;1.48;0.01;0.02;0.452
18HU98051_547;891;47.1815;-59.79667;208954;149.59;10-nov-98;16:09:00;33.59;3.46;237.09994;5.436;14.41;0.055;14.4;1.255;0.01;0.02;0.486
18HU98051_547;891;47.1815;-59.79667;208955;99.94;10-nov-98;16:09:00;32.83;1.32;276.2221;6.622;9.17;0.05;9.63;1.08;0.04;0.04;0.548
18HU98051_547;891;47.1815;-59.79667;208956;49.88;10-nov-98;16:09:00;31.75;2.28;281.44732;6.459;10.43;0.06;8.2;1.05;0.1;0.13;0.826
18HU98051_547;891;47.1815;-59.79667;208957;25.09;10-nov-98;16:09:00;30.09;6.92;281.8046;6.452;6.39;0.14;3.64;0.67;0.15;0.19;0.965
18HU98051_547;891;47.1815;-59.79667;208958;15.67;10-nov-98;16:09:00;29.64;7.61;299.8919;6.657;3.84;0.12;1.75;0.49;0.28;0.32;1.229
18HU98051_547;891;47.1815;-59.79667;208959;5.75;10-nov-98;16:09:00;29.27;7.66;305.78702;6.758;3.96;0.1;1.45;0.44;0.77;0.84;2.233
18HU98051_548;901;47.07933;-59.91483;208960;346.01;10-nov-98;18:09:00;34.71;5.38;166.62646;3.608;28.28;0.08;22.98;1.64;0;0.01;0.466
18HU98051_548;901;47.07933;-59.91483;208961;297.59;10-nov-98;18:09:00;34.63;5.63;173.2808;3.974;21.91;0.07;24.53;1.48;0.01;0.01;0.463
18HU98051_548;901;47.07933;-59.91483;208962;249.56;10-nov-98;18:09:00;34.47;5.37;166.76044;3.691;23.68;0.07;26.02;1.49;0.01;0.01;0.433
18HU98051_548;901;47.07933;-59.91483;208963;198.54;10-nov-98;18:09:00;34.28;5.65;207.98162;4.233;15.93;0.07;20.76;1.26;0.01;0.01;0.581
18HU98051_548;901;47.07933;-59.91483;208964;149.2;10-nov-98;18:09:00;33.46;2.97;248.7562;5.22;12.6;0.07;19.73;1.185;0.02;0.02;0.698
18HU98051_548;901;47.07933;-59.91483;208965;101.03;10-nov-98;18:09:00;32.73;1.77;276.31142;6.699;7.59;0.07;10.64;0.94;0.07;0.08;0.862
18HU98051_548;901;47.07933;-59.91483;208966;50.67;10-nov-98;18:09:00;30.68;4.96;280.9114;6.052;10.44;0.15;8.98;0.9;0.11;0.15;0.867
18HU98051_548;901;47.07933;-59.91483;208967;24.1;10-nov-98;18:09:00;29.58;7.53;296.27444;6.676;4.28;0.13;3.82;0.5;0.18;0.22;0.995
