CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU05656_295;FC-07;47;-51;260746;101;06-dec-05;14:54:00;101.72;33.17;6.65920286609942;-0.53;14.23;1.07;11.35;0.07
18HU05656_295;FC-07;47;-51;260747;76;06-dec-05;14:54:00;76.89;33.05;6.90103000447828;-0.58;10.51;0.89;9.87;0.06
18HU05656_295;FC-07;47;-51;260748;50;06-dec-05;14:54:00;50.78;32.75;7.2704881325571;0.53;5.64;0.6;5.61;0.09
18HU05656_295;FC-07;47;-51;260749;41;06-dec-05;14:54:00;41.33;32.12;6.93013882669055;4.6;2.39;0.36;0.81;0.54
18HU05656_295;FC-07;47;-51;260750;31;06-dec-05;14:54:00;30.91;32.11;6.93013882669055;4.65;2.75;0.43;1.56;0.58
18HU05656_295;FC-07;47;-51;260751;20;06-dec-05;14:54:00;19.71;32.11;6.93909538737125;4.65;2.4;0.3;0.46;0.57
18HU05656_295;FC-07;47;-51;260752;11;06-dec-05;14:54:00;11.09;32.11;6.97939991043439;4.65;2.4;0.35;0.28;0.61
18HU05656_295;FC-07;47;-51;260753;6;06-dec-05;14:54:00;5.69;32.11;6.99955217196597;4.65;2.17;0.3;0.54;0.58
18HU05656_296;FC-05;47;-50.0333;260754;132;06-dec-05;20:46:00;133.11;33.35;6.73981191222571;-0.48;14.95;0.95;12.72;NaN
18HU05656_296;FC-05;47;-50.0333;260755;98;06-dec-05;20:46:00;99.14;32.95;7.48096730855352;-0.95;8.87;0.89;10.2;0.04
18HU05656_296;FC-05;47;-50.0333;260756;76;06-dec-05;20:46:00;76.52;32.51;7.40931482310793;1.03;4.69;0.63;4.44;0.06
18HU05656_296;FC-05;47;-50.0333;260757;50;06-dec-05;20:46:00;50.27;31.77;6.86072548141514;5.19;2.6;0.36;0.52;0.57
18HU05656_296;FC-05;47;-50.0333;260758;42;06-dec-05;20:46:00;41.89;31.77;6.86072548141514;5.2;2.58;0.37;1.12;0.59
18HU05656_296;FC-05;47;-50.0333;260759;31;06-dec-05;20:46:00;31.36;31.77;6.86968204209584;5.2;2.76;0.43;0.6;0.6
18HU05656_296;FC-05;47;-50.0333;260760;21;06-dec-05;20:46:00;21.48;31.77;6.88087774294671;5.2;2.5;0.33;0.6;0.63
18HU05656_296;FC-05;47;-50.0333;260761;11;06-dec-05;20:46:00;11.14;31.77;6.88983430362741;5.2;2.8;0.37;1.35;0.59
18HU05656_296;FC-05;47;-50.0333;260762;6;06-dec-05;20:46:00;5.61;31.77;6.90103000447828;5.2;2.92;0.37;1.04;0.64
18HU05656_297;FC-04;47;-52.3217;260763;120;07-dec-05;01:29:00;121.03;33.14;6.99955217196597;-0.8;12.67;0.92;11;NaN
