CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;SSAL_XX;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3)
18PZ94029_102;19;42.85;-61.73333;123885;70;28-oct-94;07:08:00;32.94;1.324;NaN;32.855;5.266;0.898;6.1235
18PZ94029_102;CAST#1;42.85;-61.7333;123885;70;29-oct-94;05:12:00;32.94;1.324;NaN;32.855;5.266;0.898;6.1235
18PZ94029_102;CAST#1;42.85;-61.7333;123886;10;29-oct-94;05:12:00;31.848;13.285;NaN;31.635;1.278;0.257;0
18PZ94029_102;19;42.85;-61.73333;123886;10;28-oct-94;07:08:00;31.848;13.285;NaN;31.635;1.278;0.257;0
18PZ94029_113;CAST#1;44.2667;-63.32;123719;140;25-oct-94;02:46:00;33.284;6.726;212.09034;NaN;12.356;1.1935;12.2255
18PZ94029_113;CAST#1;44.2667;-63.32;123720;125;25-oct-94;02:46:00;32.891;3.894;243.57564;NaN;12.5935;1.156;11.552
18PZ94029_113;CAST#1;44.2667;-63.32;123721;100;25-oct-94;02:46:00;32.758;2.508;267.69204;NaN;11.1885;1.152;10.628
18PZ94029_113;CAST#1;44.2667;-63.32;123722;75;25-oct-94;02:46:00;32.739;2.309;279.7949;NaN;9.6535;1.127;9.4585
18PZ94029_113;CAST#1;44.2667;-63.32;123723;50;25-oct-94;02:46:00;31.02;7.319;285.1541;NaN;4.84;0.84;4.4505
18PZ94029_113;CAST#1;44.2667;-63.32;123724;25;25-oct-94;02:46:00;29.533;10.207;288.2803;NaN;1.941;0.463;1.3065
18PZ94029_113;CAST#1;44.2667;-63.32;123725;10;25-oct-94;02:46:00;29.35;10.59;291.58514;NaN;1.384;0.4245;0.8665
18PZ94029_113;CAST#1;44.2667;-63.32;123726;0;25-oct-94;02:46:00;NaN;NaN;291.22786;NaN;1.428;0.4295;0.8095
18PZ94029_113;2;44.26666;-63.32;123727;125;25-oct-94;03:50:00;32.891;3.894;NaN;33.454;13.059;1.1895;12.0165
18PZ94029_113;CAST#2;44.2667;-63.32;123727;125;25-oct-94;03:50:00;32.891;3.894;NaN;33.454;13.059;1.1895;12.0165
18PZ94029_113;2;44.26666;-63.32;123728;75;25-oct-94;03:50:00;32.739;2.309;NaN;32.379;7.9995;1.037;8.535
18PZ94029_113;CAST#2;44.2667;-63.32;123728;75;25-oct-94;03:50:00;32.739;2.309;NaN;32.379;7.9995;1.037;8.535
18PZ94029_113;2;44.26666;-63.32;123729;25;25-oct-94;03:50:00;29.533;10.207;NaN;29.582;2.1125;0.462;1.1615
18PZ94029_113;CAST#2;44.2667;-63.32;123729;25;25-oct-94;03:50:00;29.533;10.207;NaN;29.582;2.1125;0.462;1.1615
18PZ94029_113;2;44.26666;-63.32;123730;10;25-oct-94;03:50:00;29.35;10.59;NaN;29.382;1.523;0.7015;0.862
18PZ94029_113;CAST#2;44.2667;-63.32;123730;10;25-oct-94;03:50:00;29.35;10.59;NaN;29.382;1.523;0.7015;0.862
18PZ94029_113;2;44.26666;-63.32;123731;5;25-oct-94;03:50:00;29.351;10.594;NaN;29.378;1.5095;0.48;0.8455
18PZ94029_113;CAST#2;44.2667;-63.32;123731;5;25-oct-94;03:50:00;29.351;10.594;NaN;29.378;1.5095;0.48;0.8455
18PZ94029_114;CAST#1;42.5333;-61.3983;123887;1000;29-oct-94;12:55:00;34.931;4.029;279.48228;NaN;12.333;1.1585;17.7585
18PZ94029_114;CAST#1;42.5333;-61.3983;123888;500;29-oct-94;12:55:00;34.98;5.66;223.12136;NaN;14.2535;1.3765;20.784
18PZ94029_114;CAST#1;42.5333;-61.3983;123889;400;29-oct-94;12:55:00;35.072;7.366;186.99142;NaN;14.6155;1.575;22.7755
18PZ94029_114;CAST#1;42.5333;-61.3983;123890;300;29-oct-94;12:55:00;35.155;9.011;163.6789;NaN;13.5845;1.517;23.351
18PZ94029_114;CAST#1;42.5333;-61.3983;123891;200;29-oct-94;12:55:00;35.499;11.864;163.18764;NaN;9.4975;1.26;18.7565
18PZ94029_114;CAST#1;42.5333;-61.3983;123892;150;29-oct-94;12:55:00;35.673;13.098;179.7565;NaN;6.9945;1.034;15.484
18PZ94029_114;CAST#1;42.5333;-61.3983;123893;77;29-oct-94;12:55:00;36.004;15.878;176.36234;NaN;4.4015;0.7645;11.3345
18PZ94029_114;CAST#1;42.5333;-61.3983;123894;33;29-oct-94;12:55:00;34.132;13.841;254.69598;NaN;3.2675;0.5615;4.3215
18PZ94029_114;CAST#1;42.5333;-61.3983;123895;20;29-oct-94;12:55:00;33.924;15.285;260.68042;NaN;1.8025;0.319;1.227
18PZ94029_114;CAST#1;42.5333;-61.3983;123896;1;29-oct-94;12:55:00;33.207;14.579;271.17552;NaN;1.128;0.208;0.2385
18PZ94029_114;CAST#1;42.5333;-61.3983;123897;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;1.2845;0.219;0.527
18PZ94029_114;CAST#1;42.5333;-61.3983;123898;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123899;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123900;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123901;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123902;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123903;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123904;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;5.946;0.8805;14.3705
