CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA69002_1780;26;47.2431;-59.9597;232;150;18-aug-69;00:00:00;223.7466;3.45;1.07;12.09;9.1
18VA69002_1780;26;47.2431;-59.9597;233;200;18-aug-69;00:00:00;207.669;4.62;1.15;12.09;12.74
18VA69002_1780;26;47.2431;-59.9597;234;300;18-aug-69;00:00:00;184.8924;NaN;1.29;10.9;17.88
18VA69002_1780;26;47.2431;-59.9597;235;400;18-aug-69;00:00:00;194.271;4.48;1.23;13.21;19.62
18VA69002_1781;27;47.2431;-59.9597;267;0;23-sep-69;00:00:00;276.892;13.26;0.24;0.26;0.82
18VA69002_1781;27;47.2431;-59.9597;268;5;23-sep-69;00:00:00;277.7852;13.03;0.25;0.58;0.84
18VA69002_1781;27;47.2431;-59.9597;269;15;23-sep-69;00:00:00;282.2512;12.75;0.19;0.16;0.72
18VA69002_1781;27;47.2431;-59.9597;270;25;23-sep-69;00:00:00;282.2512;12.7;0.21;0.83;0.42
18VA69002_1781;27;47.2431;-59.9597;271;50;23-sep-69;00:00:00;338.9694;2.44;0.57;2.84;2.21
18VA69002_1781;27;47.2431;-59.9597;272;75;23-sep-69;00:00:00;323.785;1.21;0.51;6.95;4.31
18VA69002_1781;27;47.2431;-59.9597;273;100;23-sep-69;00:00:00;307.7074;1.33;0.95;9.03;6.43
18VA69002_1781;27;47.2431;-59.9597;274;150;23-sep-69;00:00:00;200.97;4.5;1.4;17.3;16.31
18VA69002_1781;27;47.2431;-59.9597;275;200;23-sep-69;00:00:00;212.5816;4.1;1.28;16.84;14.1
18VA69002_1781;27;47.2431;-59.9597;276;300;23-sep-69;00:00:00;190.6982;5.09;1.42;17.75;17.57
18VA69002_1781;27;47.2431;-59.9597;277;400;23-sep-69;00:00:00;196.0574;4.57;1.39;17.02;38.07
18VA69002_1782;31;47.4083;-59.65;31_28;0;08-may-69;00:00:00;353.2606;2.35;NaN;NaN;NaN
18VA69002_1782;31;47.4083;-59.65;31_29;5;08-may-69;00:00:00;362.1926;2.44;NaN;NaN;NaN
18VA69002_1782;31;47.4083;-59.65;31_30;15;08-may-69;00:00:00;373.8042;2.46;0.25;0.4;NaN
18VA69002_1782;31;47.4083;-59.65;31_31;25;08-may-69;00:00:00;359.0664;2.22;0.17;1.25;NaN
18VA69002_1782;31;47.4083;-59.65;31_32;50;08-may-69;00:00:00;364.8722;1.43;0.49;1.45;NaN
18VA69002_1782;31;47.4083;-59.65;31_33;75;08-may-69;00:00:00;341.2024;1.12;0.89;4.35;NaN
18VA69002_1782;31;47.4083;-59.65;31_34;100;08-may-69;00:00:00;326.4646;1.34;0.89;4.91;NaN
18VA69002_1782;31;47.4083;-59.65;31_35;150;08-may-69;00:00:00;258.1348;2.89;1.22;8.61;NaN
18VA69002_1782;31;47.4083;-59.65;31_36;200;08-may-69;00:00:00;207.669;5.08;1.8;14.21;NaN
18VA69002_1782;31;47.4083;-59.65;31_37;300;08-may-69;00:00:00;198.737;4.66;2.79;23.07;NaN
18VA69002_1782;31;47.4083;-59.65;31_38;400;08-may-69;00:00:00;188.9118;4.55;3.86;19.42;NaN
18VA69002_1783;32;47.4083;-59.65;32_82;0;01-jun-69;00:00:00;342.9888;3.73;0.46;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_83;5;01-jun-69;00:00:00;342.9888;3.67;0.4;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_84;15;01-jun-69;00:00:00;346.5616;3;0.59;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_85;25;01-jun-69;00:00:00;342.9888;2.49;0.47;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_86;50;01-jun-69;00:00:00;342.0956;1.08;0.66;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_87;75;01-jun-69;00:00:00;334.95;0.93;0.98;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_88;100;01-jun-69;00:00:00;323.3384;1.13;1.09;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_89;150;01-jun-69;00:00:00;NaN;1.35;NaN;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_90;200;01-jun-69;00:00:00;226.4262;3.75;1.66;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_91;300;01-jun-69;00:00:00;183.106;5.45;NaN;NaN;NaN
18VA69002_1783;32;47.4083;-59.65;32_92;400;01-jun-69;00:00:00;183.5526;4.78;1.78;NaN;NaN
18VA69002_1784;33;47.4083;-59.65;100;150;21-jun-69;00:00:00;233.5718;3.6;1.1;10.22;9.77
