CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l)
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217142;12-sep-00;01:04:00;31.79;1.44;NaN
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217143;12-sep-00;01:04:00;31.52;2.85;NaN
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217144;12-sep-00;01:04:00;30.75;7.87;NaN
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217145;12-sep-00;01:04:00;30.7;8.82;320.4355
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217146;26-sep-00;10:13:00;34.58;5.25;105.8442
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217147;26-sep-00;10:13:00;34.28;4.78;NaN
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217148;26-sep-00;10:13:00;33.37;2.62;NaN
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217149;26-sep-00;10:13:00;32.6;0.81;NaN
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217150;26-sep-00;10:13:00;32.19;0.21;NaN
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217151;26-sep-00;10:13:00;31.28;4.16;NaN
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217152;26-sep-00;10:13:00;30.68;7.04;NaN
IML-2000-01 Monitorage 2000_2042;212;49.7155;-66.24917;217153;26-sep-00;10:13:00;30.51;6.97;316.4161
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217168;13-oct-00;22:21:00;34.58;5.25;86.8637
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217169;13-oct-00;22:21:00;34.28;4.78;NaN
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217170;13-oct-00;22:21:00;33.5;2.94;NaN
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217171;13-oct-00;22:21:00;32.73;1.09;NaN
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217172;13-oct-00;22:21:00;32.23;0.27;NaN
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217173;13-oct-00;22:21:00;30.68;5.15;NaN
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217174;13-oct-00;22:21:00;30.46;5.56;NaN
IML-2000-01 Monitorage 2000_2043;213;49.71617;-66.251;217175;13-oct-00;22:21:00;30.29;5.96;328.251
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217176;25-oct-00;10:34:00;34.59;5.27;89.5433
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217177;25-oct-00;10:34:00;34.21;4.64;NaN
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217178;25-oct-00;10:34:00;33.32;2.49;NaN
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217179;25-oct-00;10:34:00;32.61;0.88;NaN
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217180;25-oct-00;10:34:00;32.18;0.41;NaN
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217181;25-oct-00;10:34:00;30.48;4.59;NaN
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217182;25-oct-00;10:34:00;30.48;4.58;NaN
IML-2000-01 Monitorage 2000_2044;214;49.71683;-66.24833;217183;25-oct-00;10:34:00;30.48;4.58;333.6102
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217191;08-nov-00;11:19:00;34.57;5.25;82.621
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217192;08-nov-00;11:19:00;33.96;4.13;NaN
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217193;08-nov-00;11:19:00;32.94;1.74;NaN
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217194;08-nov-00;11:19:00;32.27;0.75;NaN
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217195;08-nov-00;11:19:00;31.13;3.04;NaN
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217196;08-nov-00;11:19:00;30.18;4.13;NaN
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217197;08-nov-00;11:19:00;30;4.26;NaN
IML-2000-01 Monitorage 2000_2045;215;49.71883;-66.25;217198;08-nov-00;11:19:00;29.99;4.27;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227678;20-nov-00;17:10:00;34.57;5.25;81.7278
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227679;20-nov-00;17:10:00;33.87;3.91;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227680;20-nov-00;17:10:00;32.62;1.23;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227681;20-nov-00;17:10:00;31.71;2.8;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227682;20-nov-00;17:10:00;30.99;4.81;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227683;20-nov-00;17:10:00;30.95;4.84;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227684;20-nov-00;17:10:00;30.81;4.69;NaN
IML-2000-01 Monitorage 2000_2046;216;49.71317;-66.2495;227685;20-nov-00;17:10:00;30.81;4.72;305.2511
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216228;26-feb-00;13:11:00;34.64;5.28;NaN
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216229;26-feb-00;13:11:00;34.22;4.78;NaN
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216230;26-feb-00;13:11:00;33.53;3;NaN
