CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
47;LL_09;43.47283;-57.52917;281613;23-oct-04;15:24:00;100.99;33.432;3.868;5.4;0.04905;1;NaN;9;NaN;9;10.11;1;1.018;1;8.8;1;0;9.93;1.15
47;LL_09;43.47283;-57.52917;281612;23-oct-04;15:21:00;248.16;34.801;6.482;4;NaN;9;NaN;9;4.3025;1;20.14;1;1.41;1;13.25;1;0;14.28;1.52
47;LL_09;43.47283;-57.52917;281611;23-oct-04;15:15:00;500.45;34.905;4.856;5;NaN;9;NaN;9;NaN;9;18.92;1;1.405;1;12.21;1;0;13.47;1.55
47;LL_09;43.47283;-57.52917;281610;23-oct-04;15:06:00;1001.64;34.93;4.027;5.4;NaN;9;NaN;9;NaN;9;17.77;1;1.365;1;11.71;1;0;13.02;1.52
47;LL_09;43.47283;-57.52917;281609;23-oct-04;14:56:00;1498.6;34.933;3.744;5.5;NaN;9;NaN;9;NaN;9;18;1;1.363;1;12.62;1;0;13.21;1.43
47;LL_09;43.47283;-57.52917;281608;23-oct-04;14:47:00;1998.97;34.926;3.434;5.5;NaN;9;NaN;9;NaN;9;17.61;1;1.216;1;13.5;1;0;14.48;1.30
47;LL_09;43.47283;-57.52917;281607;23-oct-04;14:36:00;2500.37;34.921;3.108;5.5;NaN;9;NaN;9;NaN;9;16.18;1;1.193;1;14.71;1;0;13.56;1.10
47;LL_09;43.47283;-57.52917;281606;23-oct-04;14:26:00;2997.83;34.907;2.628;5.6;NaN;9;NaN;9;NaN;9;17.34;1;1.341;1;18.55;1;0;12.93;0.93
47;LL_09;43.47283;-57.52917;281605;23-oct-04;14:09:00;3775.87;34.893;2.375;5.7;NaN;9;34.908;1;6.218;1;17.49;1;1.33;1;20.09;1;0;13.15;0.87
52;LL_08;43.7825;-57.838;281634;23-oct-04;23:56:00;4.4;32.816;14.515;5.3;0.30167;1;NaN;9;5.715;1;0.02;1;0.162;1;1.05;1;0;0.12;0.02
52;LL_08;43.7825;-57.838;281633;23-oct-04;23:55:00;10.46;32.817;14.515;5.3;0.32322;1;NaN;9;NaN;9;0.01;1;0.17;1;1.18;1;0;0.06;0.01
52;LL_08;43.7825;-57.838;281632;23-oct-04;23:54:00;20.78;32.814;14.516;5.3;0.30167;1;34.932;7;NaN;9;0.03;1;0.166;1;1.2;1;256;0.18;0.03
52;LL_08;43.7825;-57.838;281631;23-oct-04;23:53:00;30.26;32.506;8.729;5.9;0.96791;1;NaN;9;NaN;9;0.84;1;0.422;1;2.17;1;0;1.99;0.39
