CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU00001_069;SEGB-12;43.6333;-50.5167;221584;20;02-nov-00;23:05:00;19.92;300.5591;0.59;0;0;0.58;0.52
18HU00001_069;SEGB-12;43.6333;-50.5167;221585;10;02-nov-00;23:05:00;10.07;297.4329;0.69;0;0;0.43;0.39
18HU00001_069;SEGB-12;43.6333;-50.5167;221586;5;02-nov-00;23:05:00;5.29;296.0931;0.7;0;NaN;0.44;0.42
18HU00001_080;SEGB-13;43.2;-50.1667;221587;61;03-nov-00;02:05:00;61.65;332.2674;7.31;0.41;6.31;1.31;0.88
18HU00001_080;SEGB-13;43.2;-50.1667;221588;50;03-nov-00;02:05:00;50.19;335.8402;7.06;0.49;5.87;1.02;0.7
18HU00001_080;SEGB-13;43.2;-50.1667;221589;40;03-nov-00;02:05:00;40.22;338.0732;5.47;0.36;4.39;0.85;0.69
18HU00001_080;SEGB-13;43.2;-50.1667;221590;30;03-nov-00;02:05:00;30.44;366.2087;1.97;0.05;1.3;3.85;4.34
18HU00001_080;SEGB-13;43.2;-50.1667;221591;20;03-nov-00;02:05:00;20.51;347.8983;0.65;0;0;0.95;0.8
18HU00001_080;SEGB-13;43.2;-50.1667;221592;10;03-nov-00;02:05:00;10.01;308.5978;0.65;0;0;0.47;0.44
18HU00001_080;SEGB-13;43.2;-50.1667;221593;5;03-nov-00;02:05:00;5.02;303.6853;0.66;0;0.08;0.49;0.46
18HU00001_091;SEGB-14;42.92;-49.9417;221594;163;03-nov-00;04:26:00;163.88;314.4036;NaN;NaN;NaN;NaN;NaN
18HU00001_102;SEGB-15;42.85;-49.8867;221595;383;03-nov-00;05:22:00;385.64;303.6853;3.05;0.03;2.41;NaN;NaN
18HU00001_102;SEGB-15;42.85;-49.8867;221596;150;03-nov-00;05:22:00;150.81;307.2581;10.84;0.55;13.86;NaN;NaN
18HU00001_102;SEGB-15;42.85;-49.8867;221597;100;03-nov-00;05:22:00;100.86;312.1706;10.18;0.52;12.96;0.05;0.04
18HU00001_102;SEGB-15;42.85;-49.8867;221598;75;03-nov-00;05:22:00;75.28;317.5298;9.45;0.52;12.53;0.06;0.04
18HU00001_102;SEGB-15;42.85;-49.8867;221599;50;03-nov-00;05:22:00;50.34;338.0732;6.17;0.37;7.09;0.19;0.17
18HU00001_102;SEGB-15;42.85;-49.8867;221600;40;03-nov-00;05:22:00;40.11;341.1993;3.47;0.1;3.64;0.39;0.36
18HU00001_102;SEGB-15;42.85;-49.8867;222211;30;03-nov-00;05:22:00;29.82;341.6459;3.13;0.07;3.17;0.9;0.75
18HU00001_102;SEGB-15;42.85;-49.8867;222212;20;03-nov-00;05:22:00;19.75;343.8789;4.93;0.29;4.46;0.89;0.76
18HU00001_102;SEGB-15;42.85;-49.8867;222213;10;03-nov-00;05:22:00;10.3;345.2187;3.77;0.12;3.17;0.95;0.8
18HU00001_102;SEGB-15;42.85;-49.8867;222214;5;03-nov-00;05:22:00;5.22;343.8789;3.05;0.03;2.41;1.07;0.92
18HU00001_113;STN27;47.5467;-52.5867;221511;75;01-nov-00;14:43:00;75.95;353.704;1.82;0.43;0.59;NaN;NaN
18HU00001_113;STN27;47.5467;-52.5867;221512;11;01-nov-00;14:43:00;10.68;336.2868;3.95;0.85;3.24;NaN;NaN
18HU00001_114;SEGB-16;42.775;-49.8283;222215;1461;03-nov-00;07:20:00;1468.32;308.1512;NaN;NaN;NaN;NaN;NaN
