CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_066;S27-02;47.58;-52.35;221453;149;07-may-00;04:30:00;150.52;338.5197;9.72;1.04;8.98;NaN;NaN
18TL00002_066;S27-02;47.58;-52.35;221454;99;07-may-00;04:30:00;99.79;364.4223;6.1;0.94;7.32;0.46;0.49
18TL00002_066;S27-02;47.58;-52.35;221455;77;07-may-00;04:30:00;77.24;363.9757;5.84;0.93;7.11;0.27;0.25
18TL00002_066;S27-02;47.58;-52.35;221456;52;07-may-00;04:30:00;51.96;389.4317;0;0.61;0;6.57;7.61
18TL00002_066;S27-02;47.58;-52.35;221457;40;07-may-00;04:30:00;40.24;401.0432;0;0.41;0;2.28;2.67
18TL00002_066;S27-02;47.58;-52.35;221458;30;07-may-00;04:30:00;30.38;396.1306;0;0.42;0;1.79;1.97
18TL00002_066;S27-02;47.58;-52.35;221459;20;07-may-00;04:30:00;20.47;392.5579;0.17;0.39;0;2.17;1.88
18TL00002_066;S27-02;47.58;-52.35;221460;11;07-may-00;04:30:00;10.89;393.4511;0;0.42;0;2.13;2.13
18TL00002_066;S27-02;47.58;-52.35;221461;5;07-may-00;04:30:00;5.13;393.0045;0;0.39;0;1.96;1.73
18TL00002_067;STN27;47.5467;-52.5867;221462;165;07-may-00;06:33:00;166.13;323.7821;11.76;1.1;9.1;NaN;NaN
18TL00002_067;STN27;47.5467;-52.5867;221463;150;07-may-00;06:33:00;151.1;340.3062;9.84;1.06;8.77;NaN;NaN
18TL00002_067;STN27;47.5467;-52.5867;221464;100;07-may-00;06:33:00;100.36;373.3542;3.64;0.83;5.14;0.31;0.31
18TL00002_067;STN27;47.5467;-52.5867;221465;74;07-may-00;06:33:00;74.84;371.5678;2.39;0.89;5.06;2.34;2.01
18TL00002_067;STN27;47.5467;-52.5867;221466;50;07-may-00;06:33:00;50.58;391.2181;0.52;0.55;1;4.03;4.98
18TL00002_067;STN27;47.5467;-52.5867;221467;40;07-may-00;06:33:00;40.42;396.5772;0.15;0.39;0;3.24;3.62
18TL00002_067;STN27;47.5467;-52.5867;221468;30;07-may-00;06:33:00;30.17;397.0239;0;0.44;0;2.94;2.57
18TL00002_067;STN27;47.5467;-52.5867;221469;20;07-may-00;06:33:00;20.52;396.5772;0;0.42;0;2.84;2.46
18TL00002_067;STN27;47.5467;-52.5867;221470;10;07-may-00;06:33:00;10.56;396.5772;0;0.45;0;2.72;2.35
18TL00002_067;STN27;47.5467;-52.5867;221471;5;07-may-00;06:33:00;5.46;395.684;0;0.46;0;3.01;2.59
18TL00002_069;SEGB-10;44.3633;-51.1033;197961;65;24-apr-00;04:21:00;65.23;320.6559;1.44;1.54;1.6;3.27;3.49
18TL00002_069;SEGB-10;44.3633;-51.1033;197962;50;24-apr-00;04:21:00;49.98;329.1412;0.5;1.27;0.48;0.37;0.41
18TL00002_069;SEGB-10;44.3633;-51.1033;197963;39;24-apr-00;04:21:00;38.97;350.1313;0.18;1.05;0.38;0.4;0.3
18TL00002_069;SEGB-10;44.3633;-51.1033;197964;28;24-apr-00;04:21:00;28.45;352.8109;0.29;1;0.3;0.48;0.48
18TL00002_069;SEGB-10;44.3633;-51.1033;197965;19;24-apr-00;04:21:00;18.89;354.1506;0.15;0.84;0.26;0.54;0.53
18TL00002_069;SEGB-10;44.3633;-51.1033;197966;11;24-apr-00;04:21:00;10.71;354.5972;0.29;1.1;0.3;0.58;0.58
18TL00002_069;SEGB-10;44.3633;-51.1033;197967;6;24-apr-00;04:21:00;5.72;354.5972;0.22;0.96;0.2;0.61;0.59
18TL00002_080;SEGB-11;44;-50.8083;197968;66;24-apr-00;07:42:00;66.13;330.0344;1.59;1.45;0.22;0.68;0.54
18TL00002_080;SEGB-11;44;-50.8083;197969;50;24-apr-00;07:42:00;49.9;337.18;0.86;1.13;0;0.37;0.35
18TL00002_080;SEGB-11;44;-50.8083;197970;39;24-apr-00;07:42:00;39.7;346.5585;0.36;0.97;0;0.44;0.45
18TL00002_080;SEGB-11;44;-50.8083;197971;29;24-apr-00;07:42:00;29.57;348.3449;0.4;1.03;0;0.5;0.49
18TL00002_080;SEGB-11;44;-50.8083;197972;21;24-apr-00;07:42:00;20.9;348.3449;0.33;0.93;0;0.49;0.52
18TL00002_080;SEGB-11;44;-50.8083;197973;10;24-apr-00;07:42:00;10.44;348.7915;0.3;0.98;0;0.58;0.56
18TL00002_080;SEGB-11;44;-50.8083;197974;5;24-apr-00;07:42:00;5.39;348.7915;0.36;1.03;0;0.46;0.46
18TL00002_091;SEGB-12;43.6333;-50.5167;197975;60;24-apr-00;11:01:00;60.14;343.8789;2.13;1.61;0.79;0.65;0.51
18TL00002_091;SEGB-12;43.6333;-50.5167;197976;49;24-apr-00;11:01:00;49.31;358.17;0.92;1.17;0;0.56;0.55
18TL00002_091;SEGB-12;43.6333;-50.5167;197977;39;24-apr-00;11:01:00;39.57;360.403;0.36;0.74;0.36;0.61;0.71
18TL00002_091;SEGB-12;43.6333;-50.5167;197978;30;24-apr-00;11:01:00;29.88;360.403;0.44;0.78;0.4;0.66;0.67
18TL00002_091;SEGB-12;43.6333;-50.5167;197979;19;24-apr-00;11:01:00;19.42;359.5098;0.38;0.74;0.44;0.52;0.51
18TL00002_091;SEGB-12;43.6333;-50.5167;197980;10;24-apr-00;11:01:00;10.08;359.0632;0.45;0.78;0.42;0.54;0.54
18TL00002_091;SEGB-12;43.6333;-50.5167;197981;4;24-apr-00;11:01:00;4.37;359.5098;0.48;0.82;0.41;0.57;0.58
18TL00002_102;SEGB-13;43.2;-50.1667;197982;64;24-apr-00;14:40:00;64.6;353.704;4.09;1.3;5.3;3.5;4.33
