CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_280;FC-09;47;-50;255820;31;16-nov-02;09:50:00;30.89;32.397;311.5453;3.453;3;0.72;2.26;0.57
18HU02070_280;FC-09;47;-50;255821;20;16-nov-02;09:50:00;20.21;32.396;311.59;3.457;2.96;0.73;2.35;0.55
18HU02070_280;FC-09;47;-50;255822;10;16-nov-02;09:50:00;10.55;32.395;311.6794;3.456;2.91;0.74;2.32;0.52
18HU02070_280;FC-09;47;-50;255823;5;16-nov-02;09:50:00;5.37;32.396;311.3667;3.456;3.16;0.82;2.83;0.5
18HU02070_281;FC-08;47;-50.6667;255824;169;16-nov-02;12:49:00;170.38;33.357;289.0369;-0.888;NaN;NaN;NaN;NaN
18HU02070_282;FC-07;47;-51;255825;100;16-nov-02;14:39:00;100.36;33.273;294.9767;-0.942;10.21;1.27;8.69;0.01
18HU02070_282;FC-07;47;-51;255826;74;16-nov-02;14:39:00;74.38;32.996;303.9086;-0.465;6.87;1.18;5.84;0.04
18HU02070_282;FC-07;47;-51;255827;49;16-nov-02;14:39:00;49.49;32.389;316.9045;2.611;3.07;0.81;2.08;0.24
18HU02070_282;FC-07;47;-51;255828;39;16-nov-02;14:39:00;39.05;32.35;316.6366;2.784;2.94;0.68;2.07;0.3
18HU02070_282;FC-07;47;-51;255829;29;16-nov-02;14:39:00;28.87;32.341;316.8152;2.84;3.81;1.27;2.77;0.3
18HU02070_282;FC-07;47;-51;255830;19;16-nov-02;14:39:00;18.83;32.338;316.9938;2.867;4.14;1.17;3.06;0.33
18HU02070_282;FC-07;47;-51;255831;9;16-nov-02;14:39:00;8.99;32.338;316.8598;2.875;3.8;1.18;2.86;0.32
18HU02070_282;FC-07;47;-51;255832;4;16-nov-02;14:39:00;4.03;32.339;316.7259;2.881;3.82;1.12;2.84;0.34
18HU02070_283;FC-06;47;-51.485;255833;93;16-nov-02;17:34:00;94.2;33.282;296.4951;-0.955;NaN;NaN;NaN;NaN
18HU02070_283;FC-06;47;-51.485;255834;10;16-nov-02;17:34:00;10.08;32.135;300.4698;4.847;NaN;NaN;NaN;0.3
18HU02070_284;SEGB-04;46.2083;-52.6083;255606;124;10-nov-02;22:25:00;125.09;33.314;289.3495;-0.994;NaN;NaN;NaN;NaN
18HU02070_285;FC-05;47;-52.0333;255835;132;16-nov-02;20:08:00;132.65;33.365;294.5747;-0.815;13.22;1.63;11.91;NaN
18HU02070_285;FC-05;47;-52.0333;255836;99;16-nov-02;20:08:00;100.04;33.058;307.9279;-1.195;10.81;1.92;10.72;0
18HU02070_285;FC-05;47;-52.0333;255837;75;16-nov-02;20:08:00;75.33;32.931;315.8327;-1.222;9.77;1.8;8.04;0.01
18HU02070_285;FC-05;47;-52.0333;255838;49;16-nov-02;20:08:00;49.71;32.619;314.5376;1.429;5.67;0.92;5.03;0.13
18HU02070_285;FC-05;47;-52.0333;255839;39;16-nov-02;20:08:00;39.79;32.514;316.8598;2.006;4.55;0.85;3.39;0.17
18HU02070_285;FC-05;47;-52.0333;255840;30;16-nov-02;20:08:00;29.85;32.484;316.7705;2.182;4.47;0.91;3.2;0.18
18HU02070_285;FC-05;47;-52.0333;255841;19;16-nov-02;20:08:00;19.02;31.986;316.8598;3.429;3.58;0.51;1.77;0.65
18HU02070_285;FC-05;47;-52.0333;255842;9;16-nov-02;20:08:00;9.35;31.89;315.8327;3.682;3.1;0.58;1.8;0.58
18HU02070_285;FC-05;47;-52.0333;255843;4;16-nov-02;20:08:00;4.5;31.889;315.7434;3.681;3.15;0.57;1.61;0.57
18HU02070_295;FC-04;47;-52.3217;255844;119;16-nov-02;22:36:00;120.04;33.244;297.6562;-1.002;13.55;1.55;11.92;NaN
18HU02070_295;FC-04;47;-52.3217;255845;100;16-nov-02;22:36:00;100.96;33.1;306.7221;-1.17;9.58;1.59;9.75;0.01
18HU02070_295;FC-04;47;-52.3217;255846;75;16-nov-02;22:36:00;75.32;32.907;310.8755;-1.118;8.99;1.77;8.91;0
18HU02070_295;FC-04;47;-52.3217;255847;51;16-nov-02;22:36:00;50.96;32.789;317.3065;-0.823;9.33;1.55;7.13;0.02
18HU02070_295;FC-04;47;-52.3217;255848;40;16-nov-02;22:36:00;40.08;32.379;315.6987;1.597;5.83;1.22;3.7;0.14
18HU02070_295;FC-04;47;-52.3217;255849;30;16-nov-02;22:36:00;29.86;32.215;315.7434;2.592;4.24;1.02;3.14;0.24
18HU02070_295;FC-04;47;-52.3217;255850;19;16-nov-02;22:36:00;19.55;32.039;316.056;3.323;3.7;0.91;2.21;0.49
18HU02070_295;FC-04;47;-52.3217;255851;10;16-nov-02;22:36:00;9.84;31.957;315.4754;3.556;3.61;0.96;1.96;0.49
18HU02070_295;FC-04;47;-52.3217;255852;5;16-nov-02;22:36:00;5.09;31.957;314.9842;3.554;4.15;1.53;1.67;0.48
18HU02070_296;FC-03;47;-52.58;255853;150;17-nov-02;00:05:00;151.54;33.208;300.6038;-1.088;14.28;1.34;11.81;NaN
18HU02070_296;FC-03;47;-52.58;255854;100;17-nov-02;00:05:00;100.74;32.945;310.0269;-1.208;12.36;1.22;9.63;0
