CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU01064_599;731;47.17117;-62.25117;247341;24.99;06-dec-01;20:14:00;30.84;3.61;325.03548;324.14228;7.01;0.19;0.99;4.875;NaN;NaN;NaN;0.635;0.5;1.279;NaN
18HU01064_599;731;47.17117;-62.25117;247342;14.87;06-dec-01;20:14:00;30.83;3.63;325.66072;325.30344;7.115;0.19;0.765;4.8525;NaN;NaN;NaN;0.75;0.55;1.263;NaN
18HU01064_599;731;47.17117;-62.25117;247343;5.06;06-dec-01;20:14:00;30.83;3.63;325.25878;325.61606;6.88;0.19;0.775;4.9525;NaN;NaN;NaN;0.57;0.47;1.088;NaN
18HU01064_599;731;47.17117;-62.25117;247344;2.78;06-dec-01;20:14:00;30.83;3.64;325.39276;325.43742;7.035;0.195;0.775;4.905;NaN;NaN;NaN;0.605;0.475;1.464;NaN
18HU01064_600;741;47.00167;-61.75117;247345;32.13;06-dec-01;22:32:00;30.57;4.14;318.2025;317.47305;5.545;0.135;0.665;4.06;NaN;NaN;NaN;1.14;0.83;1.617;NaN
18HU01064_600;741;47.00167;-61.75117;247346;25.68;06-dec-01;22:32:00;30.42;4.47;319.89958;319.18502;5.47;0.14;0.58;3.9775;NaN;NaN;NaN;2.59;1.655;2.956;NaN
18HU01064_600;741;47.00167;-61.75117;247347;16.16;06-dec-01;22:32:00;30.18;5;319.49764;319.319;3.95;0.12;0.43;3.08;NaN;NaN;NaN;3.925;2.41;4.591;NaN
18HU01064_600;741;47.00167;-61.75117;247348;5.06;06-dec-01;22:32:00;29.87;5.64;321.95394;320.16754;1.84;0.09;0.225;1.9125;NaN;NaN;NaN;7.585;3.88;8.313;NaN
18HU01064_600;741;47.00167;-61.75117;247349;3.27;06-dec-01;22:32:00;29.87;5.64;321.7753;319.0957;2.105;0.1;0.235;2.0225;NaN;NaN;NaN;7.77;4.105;8.161;NaN
18HU01064_601;751;46.9025;-61.49883;247350;47.5;06-dec-01;23:53:00;31.13;3.37;289.21816;288.84599;11.82;0.205;1;7.5125;NaN;NaN;NaN;0.395;0.355;0.686;NaN
18HU01064_601;751;46.9025;-61.49883;247351;25.58;06-dec-01;23:53:00;30.5;4.2;328.0277;328.4743;4.81;0.155;0.555;4.0425;NaN;NaN;NaN;1.545;0.97;2.399;NaN
18HU01064_601;751;46.9025;-61.49883;247352;15.97;06-dec-01;23:53:00;30.47;4.23;329.32284;329.05488;4.675;0.155;0.535;3.945;NaN;NaN;NaN;1.705;1.075;2.723;NaN
18HU01064_601;751;46.9025;-61.49883;247353;6.25;06-dec-01;23:53:00;30.45;4.28;329.05488;328.60828;4.6;0.155;0.55;3.9025;NaN;NaN;NaN;2.005;1.275;2.787;NaN
18HU01064_601;751;46.9025;-61.49883;247354;2.48;06-dec-01;23:53:00;30.44;4.32;328.4743;328.42964;4.795;0.155;0.54;3.875;NaN;NaN;NaN;2.065;1.27;2.509;NaN
18HU01064_602;761;46.82933;-61.24883;247355;57.51;07-dec-01;01:04:00;31.32;3.24;290.29;293.17801;11.385;0.175;0.97;7.5;NaN;NaN;NaN;0.385;0.35;0.711;NaN
18HU01064_602;761;46.82933;-61.24883;247356;24.99;07-dec-01;01:04:00;29.66;6.13;318.91706;316.6394;2.23;0.1;0.27;1.635;NaN;NaN;NaN;4.07;2.69;4.438;NaN
18HU01064_602;761;46.82933;-61.24883;247357;15.37;07-dec-01;01:04:00;29.65;6.16;319.00638;316.81804;1.905;0.1;0.275;1.6375;NaN;NaN;NaN;4.16;2.83;4.735;NaN
18HU01064_602;761;46.82933;-61.24883;247358;6.05;07-dec-01;01:04:00;29.65;6.17;319.45298;316.81804;1.7;0.085;0.245;1.5575;NaN;NaN;NaN;4.13;2.805;4.734;NaN
18HU01064_602;761;46.82933;-61.24883;247359;2.48;07-dec-01;01:04:00;29.65;6.17;319.0957;316.8627;2.205;0.1;0.235;1.5175;NaN;NaN;NaN;3.66;2.965;4.726;NaN
18HU01064_603;771;46.74367;-60.99983;247360;56.12;07-dec-01;02:27:00;31.41;3.31;284.12692;285.67513;10.745;0.18;1.02;7.505;NaN;NaN;NaN;0.21;0.165;0.527;NaN
18HU01064_603;771;46.74367;-60.99983;247361;24.89;07-dec-01;02:27:00;29.66;6.12;318.82774;316.90736;1.66;0.1;0.275;1.62;NaN;NaN;NaN;3.39;2.335;4.024;NaN
18HU01064_603;771;46.74367;-60.99983;247362;15.27;07-dec-01;02:27:00;29.64;6.17;318.91706;533.95496;1.61;0.1;0.23;1.55;NaN;NaN;NaN;3.655;2.48;4.622;NaN
18HU01064_603;771;46.74367;-60.99983;247363;5.06;07-dec-01;02:27:00;29.64;6.17;318.02386;316.01416;1.625;0.1;0.23;1.58;NaN;NaN;NaN;3.98;2.575;4.765;NaN
18HU01064_603;771;46.74367;-60.99983;247364;3.07;07-dec-01;02:27:00;29.64;6.17;318.24716;316.6394;1.915;0.105;0.235;1.6075;NaN;NaN;NaN;3.89;2.545;4.726;NaN
