CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL05601_243;FC-03;47;-52.58;259748;149;05-may-05;13:45:00;149.96;33.1;279.1;0.08;NaN;NaN;NaN;NaN
18TL05601_243;FC-03;47;-52.58;259749;100;05-may-05;13:45:00;101.07;32.92;311.3;-0.67;6.12;0.89;6.7;0.81
18TL05601_243;FC-03;47;-52.58;259750;74;05-may-05;13:45:00;74.42;32.75;334.1;-0.32;2.72;0.92;6.3;1.47
18TL05601_243;FC-03;47;-52.58;259751;49;05-may-05;13:45:00;48.93;32.68;366.7;0.51;0.87;0.37;1.78;0.98
18TL05601_243;FC-03;47;-52.58;259752;39;05-may-05;13:45:00;39.5;32.53;371.6;-0.51;0.94;0.31;0;0.34
18TL05601_243;FC-03;47;-52.58;259753;29;05-may-05;13:45:00;29.26;32.47;368.9;0.45;0.94;0.23;0;0.17
18TL05601_243;FC-03;47;-52.58;259754;19;05-may-05;13:45:00;19.27;32.42;367.5;0.91;0.94;0.23;0;0.09
18TL05601_243;FC-03;47;-52.58;259755;10;05-may-05;13:45:00;9.93;32.32;357.3;1.85;0.94;0.23;0;0.01
18TL05601_243;FC-03;47;-52.58;259756;5;05-may-05;13:45:00;5.07;32.33;357.3;1.82;0.94;0.3;1.9;0.02
18TL05601_244;FC-02;47;-52.705;259757;181;05-may-05;15:25:00;182.79;33.14;272.4;0.05;NaN;NaN;NaN;NaN
18TL05601_247;FC-01;47;-52.8317;259758;99;05-may-05;16:20:00;100.14;32.6;333.2;-1.25;4.18;0.95;7.34;1.64
18TL05601_247;FC-01;47;-52.8317;259759;74;05-may-05;16:20:00;75.01;32.57;336.3;-1.3;2;0.78;6.14;0.91
18TL05601_247;FC-01;47;-52.8317;259760;50;05-may-05;16:20:00;50.14;32.47;343;-1.14;1.85;0.73;4.88;0.99
18TL05601_247;FC-01;47;-52.8317;259761;39;05-may-05;16:20:00;39.82;32.38;356.4;-0.68;1.61;0.52;4.42;1
18TL05601_247;FC-01;47;-52.8317;259762;30;05-may-05;16:20:00;30.1;32.27;367.1;-0.05;0.87;0.33;1.3;0.66
18TL05601_247;FC-01;47;-52.8317;259763;20;05-may-05;16:20:00;20.1;32.17;366.7;0.38;0.87;0.31;1.51;0.4
18TL05601_247;FC-01;47;-52.8317;259764;10;05-may-05;16:20:00;9.61;32.03;364.9;1.08;1.3;0.34;0.13;0.35
18TL05601_247;FC-01;47;-52.8317;259765;4;05-may-05;16:20:00;3.85;31.94;361.3;1.48;1.65;0.36;0.75;0.13
18TL05601_253;STN27;47.5467;-52.5867;259766;170;05-may-05;21:37:00;171.8;33.15;274.2;-0.14;10.7;1.37;9.9;NaN
18TL05601_253;STN27;47.5467;-52.5867;259767;146;05-may-05;21:37:00;146.84;32.92;323.3;-1;4.93;0.95;7.78;1.36
18TL05601_253;STN27;47.5467;-52.5867;259768;100;05-may-05;21:37:00;100.37;32.67;336.7;-1.55;4.02;0.86;6.96;0.82
18TL05601_253;STN27;47.5467;-52.5867;259769;75;05-may-05;21:37:00;75.15;32.55;343.4;-1.53;3.79;0.76;5.43;0.81
18TL05601_253;STN27;47.5467;-52.5867;259770;50;05-may-05;21:37:00;50.81;32.45;370.2;-0.74;1.79;0.5;1.85;1.61
18TL05601_253;STN27;47.5467;-52.5867;259771;40;05-may-05;21:37:00;40.83;32.37;368.4;-0.77;1.41;0.47;0.81;2.06
18TL05601_253;STN27;47.5467;-52.5867;259772;31;05-may-05;21:37:00;30.95;32.26;377.4;-0.63;1.52;0.45;0.12;0.41
18TL05601_253;STN27;47.5467;-52.5867;259773;20;05-may-05;21:37:00;19.77;32.03;366.7;0.92;2.7;0.46;2.5;0.25
18TL05601_253;STN27;47.5467;-52.5867;259774;9;05-may-05;21:37:00;9.47;32;360.8;1.69;1.42;0.36;0.09;0.09
18TL05601_253;STN27;47.5467;-52.5867;259775;4;05-may-05;21:37:00;4.21;32;360.4;1.75;1.61;0.4;0.07;0.07
18TL05601_264;SEGB-03;46.35;-52.7333;259584;167;01-may-05;04:59:00;168.1;33.12;282.7;0.14;13.61;1.22;10.96;NaN
18TL05601_264;SEGB-03;46.35;-52.7333;259585;149;01-may-05;04:59:00;150.39;33.12;285.8;0.14;12.24;1.1;9.75;NaN
18TL05601_264;SEGB-03;46.35;-52.7333;259586;99;01-may-05;04:59:00;99.66;32.86;318;0.05;5.88;0.91;7.13;1.2
18TL05601_264;SEGB-03;46.35;-52.7333;259587;74;01-may-05;04:59:00;74.72;32.72;338.1;-0.18;3.86;0.87;5.41;1.77
18TL05601_264;SEGB-03;46.35;-52.7333;259588;50;01-may-05;04:59:00;50.35;32.62;344.8;-0.34;2.3;0.77;3.93;1.75
