CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181079022_114;20;42.85167;-65.83667;4285;30;08-aug-79;15:10:00;30;NaN;286.7172;3.055;0.58;3.045
181079022_114;20;42.85167;-65.83667;4286;20;08-aug-79;15:10:00;20;NaN;309.0472;2.46;0.515;0.505
181079022_114;20;42.85167;-65.83667;4287;10;08-aug-79;15:10:00;10;NaN;311.7268;1.465;0.445;0.295
181079022_127;21;43.19167;-65.74167;4288;42;08-aug-79;21:00:00;42;32.7115;NaN;NaN;NaN;NaN
181079022_127;21;43.19167;-65.74167;4289;42;08-aug-79;21:00:00;42;NaN;NaN;4.635;0.905;4.58
181079022_127;21;43.19167;-65.74167;4290;35;08-aug-79;21:00:00;35;NaN;280.0182;5.155;0.875;4.61
181079022_127;21;43.19167;-65.74167;4291;35;08-aug-79;21:00:00;35;NaN;163.9022;4.78;0.835;4.65
181079022_127;21;43.19167;-65.74167;4292;30;08-aug-79;21:00:00;30;NaN;131.747;5.27;1.015;4.74
181079022_127;21;43.19167;-65.74167;4293;30;08-aug-79;21:00:00;30;NaN;228.6592;4.845;0.98;4.7
181079022_127;21;43.19167;-65.74167;4294;20;08-aug-79;21:00:00;20;NaN;160.3294;4.81;0.87;4.625
181079022_127;21;43.19167;-65.74167;4295;10;08-aug-79;21:00:00;10;NaN;179.5332;4.755;0.95;4.68
181079022_127;21;43.19167;-65.74167;4296;10;08-aug-79;21:00:00;10;NaN;164.7954;4.32;0.835;4.165
181079022_149;23;43.10833;-65.775;4297;81;08-aug-79;22:12:00;82;33.3595;209.902;5.34;0.99;7.23
181079022_149;23;43.10833;-65.775;4298;81;08-aug-79;22:12:00;82;33.3645;257.2416;5.575;0.985;7.375
181079022_149;23;43.10833;-65.775;4299;74;08-aug-79;22:12:00;75;NaN;260.3678;5.69;1.01;7.475
181079022_149;23;43.10833;-65.775;4300;50;08-aug-79;22:12:00;50;NaN;242.9504;5.635;0.935;7.47
181079022_149;23;43.10833;-65.775;4301;50;08-aug-79;22:12:00;50;NaN;188.9118;5.76;0.93;7.51
181079022_149;23;43.10833;-65.775;4302;40;08-aug-79;22:12:00;40;NaN;131.3004;5.22;0.885;7
181079022_149;23;43.10833;-65.775;4303;30;08-aug-79;22:12:00;30;NaN;253.6688;5.725;0.98;6.815
181079022_149;23;43.10833;-65.775;4304;20;08-aug-79;22:12:00;20;NaN;254.1154;5.15;0.91;6.555
181079022_149;23;43.10833;-65.775;4305;10;08-aug-79;22:12:00;10;NaN;252.329;4.83;0.855;6.28
