CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_281;STN27;47.5467;-52.5867;257623;75;26-nov-03;14:54:00;32.16;325.1219;2.5;4.09;0.48;2.01;0.14
18HU03075_281;STN27;47.5467;-52.5867;257624;49;26-nov-03;14:54:00;31.87;322.7549;3.61;3.48;0.48;1.67;0.36
18HU03075_281;STN27;47.5467;-52.5867;257625;39;26-nov-03;14:54:00;31.87;322.5763;3.64;3.63;0.48;1.26;0.4
18HU03075_281;STN27;47.5467;-52.5867;257626;29;26-nov-03;14:54:00;31.86;321.5045;3.7;3.42;0.45;1.44;0.33
18HU03075_281;STN27;47.5467;-52.5867;257627;20;26-nov-03;14:54:00;31.82;320.2986;3.9;3.32;0.37;1.38;0.31
18HU03075_281;STN27;47.5467;-52.5867;257628;9;26-nov-03;14:54:00;31.7;321.6384;4.22;3.06;0.43;1.08;0.45
18HU03075_281;STN27;47.5467;-52.5867;257629;4;26-nov-03;14:54:00;31.62;319.4055;4.68;2.93;0.44;1.11;0.6
18HU03075_282;FC-08;47;-50.6667;257630;172;26-nov-03;22:16:00;33.25;301.0504;-0.96;NaN;NaN;NaN;NaN
18HU03075_283;FC-07;47;-51;257631;103;26-nov-03;23:32:00;33.21;258.9363;-1.03;13.83;1.22;11.13;0.06
18HU03075_283;FC-07;47;-51;257632;75;26-nov-03;23:32:00;33.11;290.8233;-0.71;12.47;1.34;9.03;0.04
18HU03075_283;FC-07;47;-51;257633;50;26-nov-03;23:32:00;32.83;318.4229;-0.28;7.24;1.03;6.27;0.11
18HU03075_283;FC-07;47;-51;257634;40;26-nov-03;23:32:00;32.08;319.7627;4.12;3.18;0.62;1.89;0.38
18HU03075_283;FC-07;47;-51;257635;30;26-nov-03;23:32:00;31.93;310.4289;6.08;2.6;0.55;2.17;0.82
