CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL09037_1028;471;46.90183;-61.49967;342355;51.46;13-jun-09;13:09:00;31.61;-0.77;327.49178;8.542;317.39862;0.07;0.975;5.52;5.08;0.18;NaN;0.574
18TL09037_1028;471;46.90183;-61.49967;342356;25.88;13-jun-09;13:09:00;31.22;2.9;381.70902;8.718;NaN;0.01;0.41;0.125;0.37;0.91;NaN;2.483
18TL09037_1028;471;46.90183;-61.49967;342357;15.07;13-jun-09;13:09:00;30.57;8.67;329.32284;8.726;NaN;0.01;0.28;0.045;0.23;1.5;NaN;3.862
18TL09037_1028;471;46.90183;-61.49967;342358;5.65;13-jun-09;13:09:00;30.53;8.93;324.0083;8.75;NaN;0.01;0.27;0.02;0.29;1.29;NaN;1.82
18TL09037_1028;471;46.90183;-61.49967;342359;1.88;13-jun-09;13:09:00;30.53;8.94;324.2316;8.759;323.13743;0.01;0.215;0.03;0;1.33;NaN;1.669
18TL09037_1029;481;46.99917;-61.74917;342360;36.39;13-jun-09;14:44:00;31.37;1.21;353.2606;8.678;345.24413;0.05;0.68;2.325;2.555;0.59;NaN;1.357
18TL09037_1029;481;46.99917;-61.74917;342361;25.29;13-jun-09;14:44:00;31.27;2.58;346.96354;8.66;NaN;0.015;0.415;0.425;0.285;0.7;NaN;1.473
18TL09037_1029;481;46.99917;-61.74917;342362;15.97;13-jun-09;14:44:00;30.89;7.88;323.87432;8.697;NaN;0.01;0.36;0.04;0.165;1;NaN;1.931
18TL09037_1029;481;46.99917;-61.74917;342363;5.55;13-jun-09;14:44:00;30.87;7.99;322.84714;8.71;NaN;0.01;0.35;0.04;0.125;0.74;NaN;1.206
18TL09037_1029;481;46.99917;-61.74917;342364;2.18;13-jun-09;14:44:00;30.87;7.98;322.71316;8.716;323.18209;0.005;0.355;0.04;0.215;0.93;NaN;0.967
18TL09037_1030;491;47.17117;-62.2515;342365;36.09;13-jun-09;17:47:00;31.57;0.17;336.9597;8.574;330.17138;0.075;0.87;4.08;4.025;0.53;NaN;1.217
18TL09037_1030;491;47.17117;-62.2515;342366;25.19;13-jun-09;17:47:00;31.33;1.91;389.39054;8.714;NaN;0.02;0.49;0.295;0.9;1.46;NaN;3.823
