CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1133;61;42.84983;-61.72667;344696;1000.06;07-nov-10;20:03:00;34.95;4.35;268.31728;NaN;6.0105;NaN;0.01;NaN;9;0.01;1;NaN;9;18.18;1;NaN;9;1.2;1;12.115;1;256;15.15;1.50
18HU10070_1135;71;42.5245;-61.40367;344723;2.18;08-nov-10;01:52:00;32.55;14.08;271.9794;NaN;5.974;0.61;0.272;NaN;9;0.015;1;NaN;9;0.04;1;NaN;9;0.22;1;1.625;1;256;0.18;0.02
18HU10070_1135;71;42.5245;-61.40367;344722;8.43;08-nov-10;01:52:00;32.55;14.08;272.29202;NaN;NaN;0.66;0.272;NaN;9;0.015;1;NaN;9;0.07;1;NaN;9;0.22;1;1.565;1;0;0.32;0.04
18HU10070_1135;71;42.5245;-61.40367;344721;19.54;08-nov-10;01:52:00;32.54;14.06;271.13086;NaN;5.915;0.635;0.284;NaN;9;0.015;1;NaN;9;0.06;1;NaN;9;0.22;1;1.505;1;256;0.27;0.04
18HU10070_1135;71;42.5245;-61.40367;344720;29.86;08-nov-10;01:52:00;32.55;14.08;270.8629;NaN;NaN;0.61;0.299;NaN;9;0.015;1;NaN;9;0.075;1;NaN;9;0.23;1;1.47;1;0;0.33;0.05
18HU10070_1135;71;42.5245;-61.40367;344719;38.99;08-nov-10;01:52:00;33.51;14.26;244.20088;NaN;NaN;0.365;0.163;NaN;9;0.12;1;NaN;9;2.125;1;NaN;9;0.355;1;2.515;1;0;5.99;0.84
18HU10070_1135;71;42.5245;-61.40367;344718;49.2;08-nov-10;01:52:00;35.42;16.11;202.35446;NaN;NaN;0.26;0.118;NaN;9;0.04;1;NaN;9;4.94;1;NaN;9;0.435;1;3.035;1;0;11.36;1.63
18HU10070_1135;71;42.5245;-61.40367;344717;59.22;08-nov-10;01:52:00;35.72;15.74;190.6982;NaN;4.21;0.19;0.09;NaN;9;0.025;1;NaN;9;7.055;1;NaN;9;0.535;1;3.525;1;256;13.19;2.00
18HU10070_1135;71;42.5245;-61.40367;344716;79.35;08-nov-10;01:52:00;35.9;15.19;184.84774;NaN;NaN;NaN;0.033;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU10070_1135;71;42.5245;-61.40367;344715;99.39;08-nov-10;01:52:00;35.83;14.55;185.7856;NaN;NaN;0.015;0.019;NaN;9;0.015;1;NaN;9;11.64;1;NaN;9;0.765;1;5.515;1;0;15.22;2.11
18HU10070_1135;71;42.5245;-61.40367;344714;248.97;08-nov-10;01:52:00;35.42;11.25;165.50996;NaN;3.6425;NaN;0.014;NaN;9;0.01;1;NaN;9;20.085;1;NaN;9;1.295;1;10.775;1;256;15.51;1.86
18HU10070_1135;71;42.5245;-61.40367;344713;500.31;08-nov-10;01:52:00;34.96;5.5;228.39124;NaN;NaN;NaN;0.014;NaN;9;0.005;1;NaN;9;20.255;1;NaN;9;1.37;1;13.015;1;0;14.78;1.56
18HU10070_1135;71;42.5245;-61.40367;344712;997.92;08-nov-10;01:52:00;34.95;4.29;268.54058;NaN;6.012;NaN;0.009;NaN;9;0.005;1;NaN;9;18.075;1;NaN;9;1.22;1;11.505;1;256;14.82;1.57
18HU10070_1135;71;42.5245;-61.40367;344711;1501.25;08-nov-10;01:52:00;34.95;3.91;269.43378;NaN;6.092;NaN;0.012;NaN;9;0;1;NaN;9;18.17;1;NaN;9;1.22;1;12.625;1;256;14.89;1.44
18HU10070_1135;71;42.5245;-61.40367;344710;1998.75;08-nov-10;01:52:00;34.94;3.47;271.5328;NaN;NaN;NaN;0.009;NaN;9;0.005;1;NaN;9;18.145;1;NaN;9;1.205;1;14.3;1;0;15.06;1.27
18HU10070_1135;71;42.5245;-61.40367;344709;2695.2;08-nov-10;01:52:00;34.92;2.86;273.94444;NaN;6.287;NaN;0.009;NaN;9;0.005;1;NaN;9;17.76;1;NaN;9;1.2;1;17.465;1;256;14.80;1.02
18HU10070_1136;81;47.58217;-59.34417;344731;1.39;09-nov-10;05:19:00;31.45;7.32;313.55786;8.214;6.886;0.6;0.189;0.165;1;NaN;9;1.42;1;NaN;9;0.37;1;NaN;9;1.965;1;256;3.84;0.72
18HU10070_1136;81;47.58217;-59.34417;344730;4.66;09-nov-10;05:19:00;31.46;7.32;313.24524;8.219;6.896;0.64;0.2;0.16;1;NaN;9;1.415;1;NaN;9;0.37;1;NaN;9;2.015;1;256;3.82;0.70
18HU10070_1136;81;47.58217;-59.34417;344729;14.68;09-nov-10;05:19:00;31.47;7.31;312.79864;8.229;6.879;0.575;0.198;0.145;1;NaN;9;1.34;1;NaN;9;0.365;1;NaN;9;1.835;1;256;3.67;0.73
